城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-07-09,雷阵雨,32,23,南风转北风,<3级,10日（明天）,中雨转大雨,32,24,东南风转东北风,<3级,11日（后天）,中雨转大雨,29,24,东南风转西南风,<3级,12日（周日）,雷阵雨,32,24,西北风转东北风,<3级
上海,2026-07-09,小雨转阴,31,24,东南风转东南风,<3级转3-4级,10日（明天）,小雨转阴,33,26,东南风转东风,3-4级转4-5级,11日（后天）,小雨,31,27,东风转东南风,5-6级,12日（周日）,小雨,31,27,东南风转南风,5-6级转4-5级
广州,2026-07-09,大雨转雷阵雨,32,25,无持续风向转无持续风向,<3级,10日（明天）,多云转晴,34,26,无持续风向转无持续风向,<3级,11日（后天）,多云,36,28,无持续风向转无持续风向,<3级,12日（周日）,雷阵雨,35,25,无持续风向转无持续风向,<3级
深圳,2026-07-09,多云,32,26,无持续风向转无持续风向,<3级,10日（明天）,多云,33,26,无持续风向转无持续风向,<3级,11日（后天）,多云,34,27,无持续风向转西南风,<3级转3-4级,12日（周日）,雷阵雨转中雨,33,26,无持续风向转无持续风向,<3级
成都,2026-07-09,多云,37,27,无持续风向转无持续风向,<3级,10日（明天）,雷阵雨转阵雨,36,24,无持续风向转无持续风向,<3级,11日（后天）,阵雨,32,24,无持续风向转无持续风向,<3级,12日（周日）,多云转阵雨,34,25,无持续风向转无持续风向,<3级
杭州,2026-07-09,小雨转多云,31,25,东风转东南风,<3级转3-4级,10日（明天）,晴转小雨,35,27,东风转东风,<3级,11日（后天）,中雨,32,25,东风转东南风,<3级,12日（周日）,中雨转多云,31,27,东南风转南风,<3级
武汉,2026-07-09,多云,35,27,南风转东南风,<3级,10日（明天）,多云转晴,35,27,南风转东南风,<3级,11日（后天）,晴转多云,37,28,东北风转北风,<3级转3-4级,12日（周日）,大雨,31,26,北风转西风,3-4级
南京,2026-07-09,小雨转多云,33,25,南风转东南风,3-4级,10日（明天）,晴转多云,34,26,东南风转东南风,3-4级转5-6级,11日（后天）,小雨,33,28,东风转东风,6-7级转7-8级,12日（周日）,小雨,32,28,东风转东南风,9-10级转7-8级
重庆,2026-07-09,晴,38,29,东南风转东南风,<3级,10日（明天）,晴,38,30,东南风转东南风,<3级,11日（后天）,多云转小雨,37,26,南风转西风,<3级,12日（周日）,多云转晴,34,28,西风转西南风,<3级
西安,2026-07-09,多云,38,26,无持续风向转无持续风向,<3级,10日（明天）,小雨转多云,39,26,无持续风向转无持续风向,<3级,11日（后天）,小雨,37,24,无持续风向转无持续风向,<3级,12日（周日）,小雨,32,24,无持续风向转无持续风向,<3级
