城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-09-03,晴,31,19,南风转西风,<3级,4日（明天）,晴转多云,32,21,西南风转西南风,<3级,5日（后天）,多云转晴,31,20,东南风转南风,<3级,6日（周日）,多云转阴,30,20,南风转南风,<3级
上海,2026-09-03,小雨转阴,31,26,东北风转北风,<3级,4日（明天）,多云,31,26,北风转北风,<3级,5日（后天）,多云,30,26,东北风转北风,5-6级转<3级,6日（周日）,多云转晴,30,24,北风转北风,<3级
广州,2026-09-03,雷阵雨,30,22,无持续风向转无持续风向,<3级,4日（明天）,雷阵雨,27,23,无持续风向转无持续风向,<3级,5日（后天）,雷阵雨转多云,31,24,无持续风向转无持续风向,<3级,6日（周日）,雷阵雨转多云,32,25,无持续风向转无持续风向,<3级
深圳,2026-09-03,雷阵雨,30,23,无持续风向转无持续风向,<3级,4日（明天）,雷阵雨转多云,29,24,无持续风向转无持续风向,<3级,5日（后天）,雷阵雨转多云,30,26,无持续风向转无持续风向,<3级,6日（周日）,雷阵雨转多云,31,26,无持续风向转无持续风向,<3级
成都,2026-09-03,多云转晴,33,21,无持续风向转无持续风向,<3级,4日（明天）,多云转晴,33,22,无持续风向转无持续风向,<3级,5日（后天）,晴,33,24,无持续风向转无持续风向,<3级,6日（周日）,多云转阴,32,24,无持续风向转无持续风向,<3级
杭州,2026-09-03,小雨,30,24,东北风转北风,<3级,4日（明天）,小雨转多云,29,24,北风转北风,<3级,5日（后天）,小雨转晴,30,23,北风转北风,<3级,6日（周日）,小雨,30,23,北风转北风,<3级
武汉,2026-09-03,多云,27,23,北风转东北风,3-4级转<3级,4日（明天）,晴,31,20,东北风转东北风,<3级,5日（后天）,晴,32,21,北风转北风,<3级,6日（周日）,晴,32,20,东北风转东北风,<3级
南京,2026-09-03,阴转多云,29,22,东北风转北风,5-6级转3-4级,4日（明天）,多云,29,22,北风转北风,3-4级,5日（后天）,多云,29,22,北风转北风,3-4级,6日（周日）,多云,28,20,北风转北风,<3级
重庆,2026-09-03,晴,35,24,东风转西北风,<3级,4日（明天）,晴,35,25,东北风转西风,<3级,5日（后天）,晴,36,26,南风转南风,<3级,6日（周日）,晴,36,26,东南风转东南风,<3级
西安,2026-09-03,晴,33,20,无持续风向转无持续风向,<3级,4日（明天）,多云,33,23,无持续风向转无持续风向,<3级,5日（后天）,晴,35,23,无持续风向转无持续风向,<3级,6日（周日）,晴转多云,35,23,无持续风向转无持续风向,<3级
