城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-08-28,晴,18,,西南风,<3级,29日（明天）,晴,30℃,19,西南风转西北风,<3级,30日（后天）,晴,30℃,20,西北风转北风,<3级,31日（周一）,晴转多云,29℃,18,东北风转东风,<3级
上海,2026-08-28,小雨,27,,东风,<3级,29日（明天）,小雨,32℃,27,东南风转东南风,<3级,30日（后天）,小雨,32℃,27,东南风转东南风,<3级,31日（周一）,小雨转多云,31℃,26,东南风转东北风,<3级
广州,2026-08-28,多云,26,,无持续风向,<3级,29日（明天）,雷阵雨,34℃,26,无持续风向转无持续风向,<3级,30日（后天）,大雨转雷阵雨,31℃,25,无持续风向转无持续风向,<3级,31日（周一）,中雨转雷阵雨,30℃,24,无持续风向转无持续风向,<3级
深圳,2026-08-28,中雨,27,,无持续风向,<3级,29日（明天）,多云,33℃,27,无持续风向转无持续风向,<3级,30日（后天）,大雨转雷阵雨,31℃,26,无持续风向转无持续风向,<3级,31日（周一）,大雨转雷阵雨,31℃,25,无持续风向转无持续风向,<3级
成都,2026-08-28,阵雨,21,,无持续风向,<3级,29日（明天）,多云,27℃,21,无持续风向转无持续风向,<3级,30日（后天）,多云转晴,32℃,21,无持续风向转无持续风向,<3级,31日（周一）,多云转晴,34℃,21,无持续风向转无持续风向,<3级
杭州,2026-08-28,多云,26,,东风,3-4级,29日（明天）,阴转小雨,34℃,26,东风转东南风,<3级,30日（后天）,中雨转晴,33℃,26,西北风转东风,<3级,31日（周一）,多云转小雨,33℃,24,北风转东北风,<3级
武汉,2026-08-28,多云,25,,北风,3-4级,29日（明天）,多云转阴,33℃,26,东北风转北风,3-4级,30日（后天）,阵雨,33℃,24,北风转北风,3-4级,31日（周一）,阵雨,31℃,23,北风转北风,3-4级转<3级
南京,2026-08-28,多云,27,,东风,3-4级,29日（明天）,小雨转多云,34℃,26,东风转东北风,3-4级,30日（后天）,中雨,32℃,25,东北风转东北风,3-4级转<3级,31日（周一）,小雨,29℃,23,东北风转东北风,3-4级
重庆,2026-08-28,大雨,27,,西北风,<3级,29日（明天）,中雨转小雨,32℃,24,西北风转西风,<3级,30日（后天）,阴转多云,31℃,24,西风转南风,<3级,31日（周一）,多云,33℃,24,南风转南风,<3级
西安,2026-08-28,阴,22,,无持续风向,<3级,29日（明天）,阴,32℃,20,无持续风向转无持续风向,<3级,30日（后天）,多云转晴,31℃,21,无持续风向转无持续风向,<3级,31日（周一）,晴,33℃,21,无持续风向转无持续风向,<3级
