城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-08-01,多云转雷阵雨,33,25,南风转南风,<3级,2日（明天）,雷阵雨,33,25,南风转东北风,<3级,3日（后天）,雷阵雨,32,24,西南风转东南风,<3级,4日（周二）,雷阵雨转多云,31,24,西南风转东北风,<3级
上海,2026-08-01,阴转晴,36,29,东南风转东南风,<3级,2日（明天）,多云,36,28,东南风转东南风,<3级,3日（后天）,多云,36,28,东风转东风,<3级,4日（周二）,小雨转中雨,36,27,东风转东北风,<3级
广州,2026-08-01,大雨转雷阵雨,30,25,无持续风向转无持续风向,<3级,2日（明天）,大雨转雷阵雨,30,24,无持续风向转无持续风向,<3级,3日（后天）,大雨转雷阵雨,29,24,无持续风向转无持续风向,<3级,4日（周二）,中雨转雷阵雨,29,24,无持续风向转无持续风向,<3级
深圳,2026-08-01,中雨,28,24,无持续风向转无持续风向,<3级,2日（明天）,暴雨转中雨,28,24,无持续风向转无持续风向,<3级,3日（后天）,中雨,29,25,无持续风向转无持续风向,<3级,4日（周二）,雷阵雨,29,25,无持续风向转无持续风向,<3级
成都,2026-08-01,大雨,26,22,无持续风向转无持续风向,<3级,2日（明天）,阵雨,24,21,无持续风向转无持续风向,<3级,3日（后天）,多云,29,22,无持续风向转无持续风向,<3级,4日（周二）,多云转阵雨,31,22,无持续风向转无持续风向,<3级
杭州,2026-08-01,小雨转晴,40,28,西南风转西南风,<3级,2日（明天）,小雨转多云,39,30,东风转东北风,<3级,3日（后天）,晴转多云,40,28,东风转东北风,<3级,4日（周二）,晴转小雨,38,28,东风转东风,<3级
武汉,2026-08-01,晴转多云,35,27,南风转南风,<3级,2日（明天）,晴转多云,36,26,东南风转东南风,<3级,3日（后天）,晴转多云,36,27,东南风转东北风,<3级,4日（周二）,多云,36,27,东南风转东南风,<3级
南京,2026-08-01,晴,37,27,西南风转南风,<3级,2日（明天）,多云,37,28,南风转东风,<3级,3日（后天）,晴,37,26,东风转东风,<3级,4日（周二）,晴转多云,35,27,东风转东风,3-4级转<3级
重庆,2026-08-01,多云转小雨,37,30,西风转南风,<3级,2日（明天）,小雨转暴雨,36,27,北风转西南风,<3级,3日（后天）,中雨,32,25,西南风转南风,<3级,4日（周二）,中雨转小雨,31,25,东北风转南风,<3级
西安,2026-08-01,小雨,35,26,无持续风向转无持续风向,<3级,2日（明天）,小雨转中雨,35,25,无持续风向转无持续风向,<3级,3日（后天）,大雨转小雨,34,24,无持续风向转无持续风向,<3级,4日（周二）,小雨,34,25,无持续风向转无持续风向,<3级
