城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-06-03,雷阵雨转多云,29,17,东北风转南风,<3级,4日（明天）,雷阵雨转晴,26,15,西南风转南风,<3级,5日（后天）,多云转雷阵雨,27,15,南风转南风,<3级,6日（周六）,雷阵雨转多云,25,12,东风转西风,<3级
上海,2026-06-03,小雨转大雨,32,24,西南风转西风,<3级,4日（明天）,小雨转多云,30,22,西风转东北风,<3级,5日（后天）,晴,28,21,东风转东风,<3级,6日（周六）,阴,29,21,东风转东风,<3级
广州,2026-06-03,雷阵雨转多云,36,27,无持续风向转无持续风向,<3级,4日（明天）,雷阵雨转晴,37,27,无持续风向转无持续风向,<3级,5日（后天）,雷阵雨,35,26,无持续风向转无持续风向,<3级,6日（周六）,雷阵雨,34,26,无持续风向转无持续风向,<3级
深圳,2026-06-03,多云,33,27,无持续风向转无持续风向,<3级,4日（明天）,雷阵雨,33,26,无持续风向转无持续风向,<3级,5日（后天）,雷阵雨,34,26,无持续风向转无持续风向,<3级,6日（周六）,雷阵雨转中雨,32,27,无持续风向转无持续风向,<3级
成都,2026-06-03,多云,32,22,无持续风向转无持续风向,<3级,4日（明天）,多云转阴,33,22,无持续风向转无持续风向,<3级,5日（后天）,多云,34,22,无持续风向转无持续风向,<3级,6日（周六）,多云转小雨,32,21,无持续风向转无持续风向,<3级
杭州,2026-06-03,中雨转大雨,30,23,东北风转西南风,<3级,4日（明天）,小雨,32,23,西南风转东北风,<3级,5日（后天）,小雨转多云,30,21,东风转东风,<3级,6日（周六）,小雨,28,21,东北风转东风,<3级
武汉,2026-06-03,小雨转多云,28,23,西南风转西南风,<3级,4日（明天）,多云,34,25,东北风转东北风,<3级,5日（后天）,多云,33,25,东风转东风,<3级,6日（周六）,晴转多云,31,23,东风转北风,<3级
南京,2026-06-03,小雨转多云,32,24,南风转西风,<3级,4日（明天）,阴转多云,34,22,西北风转东北风,<3级转3-4级,5日（后天）,多云,33,21,东风转东风,3-4级,6日（周六）,晴转阴,32,20,东南风转东风,3-4级转<3级
重庆,2026-06-03,小雨转多云,30,21,西南风转东风,<3级,4日（明天）,多云转晴,32,22,东北风转东风,<3级,5日（后天）,晴,31,24,东南风转东南风,<3级,6日（周六）,小雨转中雨,33,24,东南风转东北风,<3级
西安,2026-06-03,晴,35,19,无持续风向转无持续风向,<3级,4日（明天）,阴,34,23,无持续风向转无持续风向,<3级,5日（后天）,阴转晴,31,21,无持续风向转无持续风向,<3级,6日（周六）,小雨,28,20,无持续风向转无持续风向,<3级
