城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-06-04,多云转晴,25,15,东北风转北风,<3级,5日（明天）,多云转雷阵雨,26,15,南风转北风,<3级,6日（后天）,雷阵雨转多云,23,12,北风转东南风,<3级,7日（周日）,多云转晴,26,15,南风转南风,<3级
上海,2026-06-04,小雨,29,23,东北风转北风,<3级,5日（明天）,阴,28,21,东北风转东风,3-4级转<3级,6日（后天）,阴转晴,28,20,东风转东风,<3级,7日（周日）,多云转阴,28,22,东北风转东北风,<3级
广州,2026-06-04,多云转雷阵雨,36,26,无持续风向转无持续风向,<3级,5日（明天）,雷阵雨转中雨,35,25,无持续风向转无持续风向,<3级,6日（后天）,雷阵雨转大雨,32,25,无持续风向转无持续风向,<3级,7日（周日）,中雨转大雨,31,25,无持续风向转无持续风向,<3级
深圳,2026-06-04,雷阵雨,34,26,无持续风向转无持续风向,<3级,5日（明天）,雷阵雨转中雨,33,26,无持续风向转无持续风向,<3级,6日（后天）,雷阵雨转中雨,32,26,无持续风向转无持续风向,<3级,7日（周日）,中雨,31,26,无持续风向转无持续风向,<3级
成都,2026-06-04,多云转阴,34,23,无持续风向转无持续风向,<3级,5日（明天）,晴,34,22,无持续风向转无持续风向,<3级,6日（后天）,雷阵雨转阵雨,33,21,无持续风向转无持续风向,<3级,7日（周日）,小雨,26,19,无持续风向转无持续风向,<3级
杭州,2026-06-04,小雨,30,23,南风转东北风,<3级,5日（明天）,小雨转晴,32,21,东风转东风,<3级,6日（后天）,晴,30,20,东风转西南风,<3级,7日（周日）,多云转小雨,30,21,东风转东北风,<3级
武汉,2026-06-04,多云,33,22,东北风转北风,<3级,5日（明天）,阴,34,25,东风转东南风,<3级,6日（后天）,晴转多云,32,21,东南风转北风,<3级,7日（周日）,多云转小雨,29,18,北风转北风,3-4级转<3级
南京,2026-06-04,小雨转多云,33,23,北风转东北风,<3级,5日（明天）,多云,32,23,东风转东风,3-4级,6日（后天）,多云,31,21,东南风转东南风,3-4级转<3级,7日（周日）,阴,30,22,东北风转东北风,<3级
重庆,2026-06-04,多云转阴,31,23,东风转东北风,<3级,5日（明天）,多云,32,24,东北风转东风,<3级,6日（后天）,多云转中雨,34,24,东风转东北风,<3级,7日（周日）,大雨转暴雨,29,20,北风转西北风,<3级
西安,2026-06-04,多云转阴,35,22,无持续风向转无持续风向,<3级,5日（明天）,多云,37,22,无持续风向转无持续风向,<3级,6日（后天）,小雨,30,20,无持续风向转无持续风向,<3级,7日（周日）,阴,26,17,无持续风向转无持续风向,<3级
