城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-07-28,晴转雷阵雨,33,24,南风转西南风,<3级,29日（明天）,晴,33,25,南风转西南风,<3级,30日（后天）,雷阵雨转阴,33,25,南风转西南风,<3级,31日（周五）,雷阵雨,32,25,南风转西南风,<3级
上海,2026-07-28,多云,34,29,东南风转东南风,<3级,29日（明天）,多云转晴,36,29,东南风转东南风,<3级,30日（后天）,多云转晴,38,29,南风转南风,<3级,31日（周五）,多云转晴,38,29,东南风转东南风,<3级
广州,2026-07-28,中雨转雷阵雨,32,25,无持续风向转无持续风向,<3级,29日（明天）,大雨转雷阵雨,28,23,无持续风向转无持续风向,<3级,30日（后天）,大雨转雷阵雨,28,23,无持续风向转无持续风向,<3级,31日（周五）,雷阵雨转中雨,29,24,无持续风向转无持续风向,<3级
深圳,2026-07-28,大雨转中雨,31,25,无持续风向转无持续风向,<3级,29日（明天）,暴雨转雷阵雨,28,24,无持续风向转无持续风向,<3级,30日（后天）,大雨转雷阵雨,28,24,无持续风向转无持续风向,<3级,31日（周五）,雷阵雨转大雨,28,25,无持续风向转无持续风向,<3级
成都,2026-07-28,阵雨,32,23,无持续风向转无持续风向,<3级,29日（明天）,阵雨转大雨,29,22,无持续风向转无持续风向,<3级,30日（后天）,阵雨转中雨,25,22,无持续风向转无持续风向,<3级,31日（周五）,小雨转阴,25,22,无持续风向转无持续风向,<3级
杭州,2026-07-28,多云,36,28,西南风转西南风,<3级,29日（明天）,晴,38,29,北风转西南风,<3级,30日（后天）,晴,39,30,东北风转西南风,<3级,31日（周五）,小雨转晴,40,29,东南风转西南风,<3级
武汉,2026-07-28,中雨转小雨,31,25,东南风转东南风,<3级,29日（明天）,小雨,33,26,南风转东南风,<3级,30日（后天）,小雨转阴,34,27,南风转南风,<3级,31日（周五）,小雨,34,27,南风转南风,<3级
南京,2026-07-28,多云,35,27,东南风转东南风,3-4级,29日（明天）,多云,36,27,西南风转东南风,<3级,30日（后天）,多云,36,27,西南风转南风,<3级,31日（周五）,多云转晴,35,27,西南风转南风,<3级
重庆,2026-07-28,多云,37,26,西南风转西风,<3级,29日（明天）,多云,39,29,南风转东南风,<3级,30日（后天）,晴转小雨,38,28,南风转北风,<3级,31日（周五）,小雨,37,28,北风转东风,<3级
西安,2026-07-28,多云,35,25,无持续风向转无持续风向,<3级,29日（明天）,多云,36,25,无持续风向转无持续风向,<3级,30日（后天）,小雨转晴,35,25,无持续风向转无持续风向,<3级,31日（周五）,小雨,35,25,无持续风向转无持续风向,<3级
