城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-08-03,雷阵雨,32,24,南风转东风,<3级,4日（明天）,雷阵雨,31,24,南风转东北风,<3级,5日（后天）,多云,33,25,东南风转北风,<3级,6日（周四）,多云,34,23,西北风转北风,<3级
上海,2026-08-03,多云转阴,37,27,东风转东风,<3级,4日（明天）,阴,36,28,东风转东风,<3级,5日（后天）,小雨,34,27,东风转东北风,<3级,6日（周四）,小雨,34,27,东北风转东北风,<3级
广州,2026-08-03,中雨转雷阵雨,29,25,无持续风向转无持续风向,<3级,4日（明天）,中雨转多云,31,24,无持续风向转无持续风向,<3级,5日（后天）,雷阵雨转多云,33,24,无持续风向转无持续风向,<3级,6日（周四）,多云,34,25,无持续风向转无持续风向,<3级
深圳,2026-08-03,中雨转雷阵雨,28,24,无持续风向转无持续风向,<3级,4日（明天）,大雨转多云,31,24,无持续风向转无持续风向,<3级,5日（后天）,中雨转多云,32,25,无持续风向转无持续风向,<3级,6日（周四）,多云,30,25,无持续风向转无持续风向,<3级
成都,2026-08-03,晴,34,22,无持续风向转无持续风向,<3级,4日（明天）,晴,34,22,无持续风向转无持续风向,<3级,5日（后天）,阵雨,32,22,无持续风向转无持续风向,<3级,6日（周四）,阵雨转小雨,31,22,无持续风向转无持续风向,<3级
杭州,2026-08-03,多云转晴,40,29,东风转东风,<3级,4日（明天）,多云,38,28,东风转东风,<3级,5日（后天）,小雨,35,28,东风转北风,<3级,6日（周四）,小雨,36,27,北风转北风,<3级
武汉,2026-08-03,晴,36,27,东南风转东南风,<3级,4日（明天）,晴,36,26,东南风转北风,<3级,5日（后天）,小雨转多云,35,27,西北风转东风,<3级,6日（周四）,阴转晴,35,26,北风转北风,<3级
南京,2026-08-03,晴转多云,38,27,东风转东风,<3级,4日（明天）,多云,37,28,东风转东风,3-4级,5日（后天）,小雨转晴,35,28,东风转东北风,3-4级转<3级,6日（周四）,晴转多云,34,27,东北风转东北风,3-4级
重庆,2026-08-03,小雨,30,23,西南风转北风,<3级,4日（明天）,多云,33,25,北风转西风,<3级,5日（后天）,小雨,34,26,北风转东风,<3级,6日（周四）,小雨转中雨,34,25,东南风转西北风,<3级
西安,2026-08-03,中雨转阴,27,20,无持续风向转无持续风向,<3级,4日（明天）,多云,28,21,无持续风向转无持续风向,<3级,5日（后天）,多云转小雨,31,23,无持续风向转无持续风向,<3级,6日（周四）,小雨,31,23,无持续风向转无持续风向,<3级
