城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-07-24,雷阵雨转多云,30,23,东风转北风,<3级,25日（明天）,雷阵雨转多云,30,24,东南风转东南风,<3级,26日（后天）,雷阵雨转多云,32,25,东南风转东南风,<3级,27日（周一）,多云,33,25,南风转东南风,<3级
上海,2026-07-24,多云,37,29,东南风转南风,<3级,25日（明天）,多云转阴,36,29,东南风转南风,<3级,26日（后天）,阴,35,29,南风转东南风,<3级,27日（周一）,阴,36,28,东南风转东南风,5-6级转<3级
广州,2026-07-24,晴,35,26,无持续风向转无持续风向,<3级,25日（明天）,多云转小雨,37,26,无持续风向转西风,<3级转4-5级,26日（后天）,暴雨转中雨,30,26,西风转无持续风向,3-4级转<3级,27日（周一）,雷阵雨,29,24,无持续风向转无持续风向,<3级
深圳,2026-07-24,晴转多云,34,27,无持续风向转无持续风向,<3级,25日（明天）,雷阵雨转大雨,35,26,无持续风向转西风,<3级转5-6级,26日（后天）,暴雨转大雨,28,26,西南风转无持续风向,4-5级转<3级,27日（周一）,雷阵雨,27,25,无持续风向转无持续风向,<3级
成都,2026-07-24,多云转晴,39,26,无持续风向转无持续风向,<3级,25日（明天）,多云转晴,39,27,无持续风向转无持续风向,<3级,26日（后天）,雷阵雨转阵雨,37,24,无持续风向转无持续风向,<3级,27日（周一）,阵雨转小雨,29,22,无持续风向转无持续风向,<3级
杭州,2026-07-24,小雨转晴,39,27,西风转南风,<3级,25日（明天）,晴转多云,38,28,东南风转南风,<3级,26日（后天）,多云,35,28,东南风转南风,<3级,27日（周一）,多云,35,27,东南风转南风,<3级
武汉,2026-07-24,多云转晴,35,26,东南风转东南风,<3级,25日（明天）,多云,36,27,南风转东风,<3级,26日（后天）,小雨转阴,34,27,东南风转东风,<3级,27日（周一）,小雨转大雨,32,24,东风转东南风,3-4级
南京,2026-07-24,中雨转晴,33,25,南风转东南风,<3级,25日（明天）,多云转阴,36,27,东南风转东南风,<3级,26日（后天）,阴,35,28,南风转东南风,<3级,27日（周一）,阴,34,28,东南风转东南风,<3级转3-4级
重庆,2026-07-24,晴,41,33,东南风转南风,<3级,25日（明天）,晴,41,33,南风转南风,<3级,26日（后天）,晴,41,31,东南风转东南风,<3级,27日（周一）,小雨转中雨,39,27,南风转南风,<3级
西安,2026-07-24,多云转晴,36,25,无持续风向转无持续风向,<3级,25日（明天）,多云转晴,37,26,无持续风向转无持续风向,<3级,26日（后天）,小雨转晴,36,25,无持续风向转无持续风向,<3级,27日（周一）,小雨转多云,35,25,无持续风向转无持续风向,<3级
