城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-08-30,晴,32,19,北风转北风,<3级,31日（明天）,多云,28,19,东北风转北风,<3级,1日（后天）,多云,29,17,北风转北风,<3级,2日（周三）,晴,30,18,南风转西北风,<3级
上海,2026-08-30,中雨转阴,32,28,东南风转东南风,<3级,31日（明天）,小雨,33,26,南风转东南风,<3级,1日（后天）,中雨转大雨,30,25,东北风转东风,<3级,2日（周三）,中雨转小雨,27,25,东风转东风,<3级
广州,2026-08-30,大雨转雷阵雨,31,25,无持续风向转无持续风向,<3级,31日（明天）,中雨转雷阵雨,32,26,无持续风向转无持续风向,<3级,1日（后天）,雷阵雨,32,25,北风转西北风,3-4级,2日（周三）,多云,30,24,北风转无持续风向,3-4级转<3级
深圳,2026-08-30,雷阵雨,30,25,无持续风向转无持续风向,<3级,31日（明天）,中雨转雷阵雨,31,26,无持续风向转无持续风向,<3级,1日（后天）,大雨转雷阵雨,31,25,无持续风向转无持续风向,<3级,2日（周三）,多云,30,25,无持续风向转无持续风向,<3级
成都,2026-08-30,多云,35,21,无持续风向转无持续风向,<3级,31日（明天）,多云转晴,35,21,无持续风向转无持续风向,<3级,1日（后天）,晴,33,21,无持续风向转无持续风向,<3级,2日（周三）,晴,32,21,无持续风向转无持续风向,<3级
杭州,2026-08-30,小雨,32,26,北风转南风,<3级,31日（明天）,中雨转多云,33,25,北风转东北风,<3级,1日（后天）,大雨,30,22,东北风转东北风,<3级,2日（周三）,中雨转小雨,30,24,东风转东北风,<3级
武汉,2026-08-30,多云,32,24,北风转北风,3-4级,31日（明天）,多云,31,23,东北风转北风,3-4级转<3级,1日（后天）,多云转晴,28,23,东北风转北风,4-5级转3-4级,2日（周三）,多云转阵雨,27,22,北风转北风,3-4级
南京,2026-08-30,小雨转中雨,32,24,东北风转东北风,5-6级,31日（明天）,小雨转大雨,28,22,东北风转北风,4-5级转3-4级,1日（后天）,小雨转中雨,31,24,东北风转东北风,4-5级,2日（周三）,大雨转小雨,26,24,东北风转东北风,4-5级
重庆,2026-08-30,多云,31,23,西北风转西风,<3级,31日（明天）,多云转晴,33,25,北风转西风,<3级,1日（后天）,多云转晴,33,25,东北风转西北风,<3级,2日（周三）,晴,33,21,北风转南风,<3级
西安,2026-08-30,晴,33,19,无持续风向转无持续风向,<3级,31日（明天）,晴,32,19,无持续风向转无持续风向,<3级,1日（后天）,晴,33,19,无持续风向转无持续风向,<3级,2日（周三）,晴,31,19,无持续风向转无持续风向,<3级
