城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-07-14,多云转晴,34,22,西南风转西南风,<3级,15日（明天）,晴,35,23,西南风转西南风,<3级,16日（后天）,晴转多云,34,24,北风转南风,<3级,17日（周五）,多云,33,22,西南风转西南风,<3级
上海,2026-07-14,多云,36,29,西南风转西南风,<3级,15日（明天）,多云转阴,37,29,西风转西南风,<3级,16日（后天）,小雨转阴,36,29,西风转西风,<3级,17日（周五）,小雨,33,27,西风转西南风,<3级
广州,2026-07-14,暴雨转雷阵雨,31,25,无持续风向转无持续风向,<3级,15日（明天）,大雨转雷阵雨,30,25,无持续风向转无持续风向,<3级,16日（后天）,中雨转雷阵雨,31,26,无持续风向转无持续风向,<3级,17日（周五）,雷阵雨转多云,32,26,无持续风向转无持续风向,<3级
深圳,2026-07-14,暴雨转中雨,28,25,无持续风向转无持续风向,<3级,15日（明天）,大雨转中雨,29,25,南风转无持续风向,3-4级转<3级,16日（后天）,中雨转雷阵雨,31,26,西南风转无持续风向,3-4级转<3级,17日（周五）,雷阵雨,31,27,无持续风向转无持续风向,<3级
成都,2026-07-14,雷阵雨转阵雨,37,25,无持续风向转无持续风向,<3级,15日（明天）,雷阵雨转阵雨,37,26,无持续风向转无持续风向,<3级,16日（后天）,雷阵雨转阵雨,37,26,无持续风向转无持续风向,<3级,17日（周五）,多云转阴,33,25,无持续风向转无持续风向,<3级
杭州,2026-07-14,多云,37,28,西南风转西南风,<3级,15日（明天）,多云,38,29,东南风转西南风,<3级,16日（后天）,多云,37,29,东南风转西南风,<3级,17日（周五）,小雨转多云,37,29,南风转西南风,<3级
武汉,2026-07-14,多云,37,30,南风转南风,<3级,15日（明天）,多云,37,29,南风转南风,<3级,16日（后天）,多云,35,30,西南风转南风,<3级,17日（周五）,小雨,36,26,西南风转东北风,<3级
南京,2026-07-14,多云,34,27,西南风转南风,3-4级转<3级,15日（明天）,阴,35,28,西南风转西南风,3-4级转<3级,16日（后天）,阴,34,28,西南风转南风,3-4级转<3级,17日（周五）,小雨,34,27,西南风转西南风,3-4级
重庆,2026-07-14,晴,41,32,东南风转南风,<3级,15日（明天）,晴,41,32,南风转东南风,<3级,16日（后天）,晴,41,33,东南风转东南风,<3级,17日（周五）,小雨,38,26,西南风转南风,<3级
西安,2026-07-14,小雨,35,25,无持续风向转无持续风向,<3级,15日（明天）,多云,34,26,无持续风向转无持续风向,<3级,16日（后天）,小雨转中雨,35,23,无持续风向转无持续风向,<3级,17日（周五）,小雨转阴,31,23,无持续风向转无持续风向,<3级
