城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-06-19,雷阵雨,27,20,东南风转西北风,<3级,20日（明天）,晴,30,16,西北风转北风,3-4级转<3级,21日（后天）,多云,29,17,西南风转南风,<3级,22日（周一）,多云,31,16,南风转东南风,<3级
上海,2026-06-19,小雨转中雨,29,24,南风转西南风,3-4级,20日（明天）,阴转小雨,30,24,西风转东风,3-4级转<3级,21日（后天）,中雨转小雨,28,23,南风转西南风,<3级,22日（周一）,中雨,27,22,西风转北风,<3级
广州,2026-06-19,大雨转小雨,30,25,南风转无持续风向,3-4级转<3级,20日（明天）,小雨,34,27,无持续风向转无持续风向,<3级,21日（后天）,小雨转多云,35,26,无持续风向转无持续风向,<3级,22日（周一）,多云,35,26,无持续风向转无持续风向,<3级
深圳,2026-06-19,阴,31,26,南风转无持续风向,3-4级转<3级,20日（明天）,小雨,32,27,无持续风向转无持续风向,<3级,21日（后天）,多云,33,26,无持续风向转无持续风向,<3级,22日（周一）,多云,33,27,无持续风向转无持续风向,<3级
成都,2026-06-19,多云,32,23,无持续风向转无持续风向,<3级,20日（明天）,阵雨,29,21,无持续风向转无持续风向,<3级,21日（后天）,阴转多云,28,21,无持续风向转无持续风向,<3级,22日（周一）,阴,28,21,无持续风向转无持续风向,<3级
杭州,2026-06-19,小雨转大雨,32,24,西南风转西风,<3级,20日（明天）,小雨,30,24,南风转西风,<3级,21日（后天）,中雨转多云,31,24,东风转西南风,<3级,22日（周一）,小雨,30,22,东北风转东北风,<3级
武汉,2026-06-19,小雨转多云,28,23,西风转西南风,<3级,20日（明天）,小雨转大雨,32,24,南风转南风,<3级,21日（后天）,大雨,27,23,南风转南风,<3级,22日（周一）,中雨,24,21,北风转北风,<3级
南京,2026-06-19,中雨转小雨,27,21,南风转西风,4-5级,20日（明天）,多云转小雨,30,23,西北风转东南风,<3级,21日（后天）,大雨,26,21,东风转北风,3-4级,22日（周一）,小雨转大雨,25,21,东北风转东北风,3-4级转<3级
重庆,2026-06-19,多云,31,22,西南风转北风,<3级,20日（明天）,阴转小雨,34,24,北风转西南风,<3级,21日（后天）,小雨转中雨,30,25,西北风转北风,<3级,22日（周一）,中雨转小雨,28,24,东北风转东南风,<3级
西安,2026-06-19,晴转多云,30,21,无持续风向转无持续风向,<3级,20日（明天）,小雨,25,19,无持续风向转无持续风向,<3级,21日（后天）,中雨转小雨,24,16,无持续风向转无持续风向,<3级,22日（周一）,小雨转阴,23,16,无持续风向转无持续风向,<3级
