城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-08-14,多云转雷阵雨,31,23,东南风转东南风,<3级,15日（明天）,雷阵雨,30,23,南风转南风,<3级,16日（后天）,多云,31,22,西南风转北风,<3级,17日（周一）,晴,33,22,东风转东风,<3级
上海,2026-08-14,小雨,28,26,东风转东风,<3级,15日（明天）,中雨转小雨,29,26,西北风转西北风,<3级,16日（后天）,小雨,31,25,北风转东北风,<3级,17日（周一）,小雨,33,25,东北风转东北风,<3级
广州,2026-08-14,中雨,32,26,无持续风向转无持续风向,<3级,15日（明天）,雷阵雨转多云,34,26,无持续风向转无持续风向,<3级,16日（后天）,雷阵雨,34,26,无持续风向转无持续风向,<3级,17日（周一）,中雨转雷阵雨,33,26,无持续风向转无持续风向,<3级
深圳,2026-08-14,中雨,31,26,无持续风向转无持续风向,<3级,15日（明天）,雷阵雨,33,26,无持续风向转无持续风向,<3级,16日（后天）,多云转雷阵雨,33,27,无持续风向转无持续风向,<3级,17日（周一）,雷阵雨,32,26,无持续风向转无持续风向,<3级
成都,2026-08-14,晴,37,24,无持续风向转无持续风向,<3级,15日（明天）,雷阵雨转多云,36,25,无持续风向转无持续风向,<3级,16日（后天）,阵雨,35,22,无持续风向转无持续风向,<3级,17日（周一）,小雨转大雨,25,21,无持续风向转无持续风向,<3级
杭州,2026-08-14,中雨转小雨,32,25,西南风转西风,<3级,15日（明天）,大雨转小雨,30,24,西北风转北风,<3级,16日（后天）,小雨转多云,31,25,东北风转东北风,<3级,17日（周一）,小雨转阴,32,25,东北风转东风,<3级
武汉,2026-08-14,多云转晴,31,24,北风转北风,<3级,15日（明天）,阴转晴,32,23,北风转北风,<3级,16日（后天）,阴转多云,34,25,东北风转东风,<3级,17日（周一）,阴转多云,33,26,东北风转东北风,<3级
南京,2026-08-14,大雨转阴,27,23,东北风转东北风,3-4级,15日（明天）,多云转晴,28,22,东北风转北风,3-4级转<3级,16日（后天）,晴,30,23,东北风转东风,<3级,17日（周一）,晴转阴,31,23,东北风转东风,<3级转3-4级
重庆,2026-08-14,晴,38,28,东北风转东南风,<3级,15日（明天）,晴,38,28,东风转东风,<3级,16日（后天）,多云,39,29,东南风转东南风,<3级,17日（周一）,小雨,38,28,东北风转北风,<3级
西安,2026-08-14,晴,30,23,无持续风向转无持续风向,<3级,15日（明天）,多云转晴,30,23,无持续风向转无持续风向,<3级,16日（后天）,阴转小雨,29,24,无持续风向转无持续风向,<3级,17日（周一）,小雨,24,23,无持续风向转无持续风向,<3级
