城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-07-05,雷阵雨转阴,32,21,西风转南风,<3级,6日（明天）,雷阵雨转多云,32,23,南风转南风,<3级,7日（后天）,雷阵雨,30,22,西风转北风,<3级,8日（周三）,雷阵雨转多云,32,23,西南风转东北风,<3级
上海,2026-07-05,小雨,30,26,西南风转南风,3-4级转<3级,6日（明天）,阴转小雨,33,27,东南风转东南风,<3级,7日（后天）,阴,34,27,东南风转南风,<3级转3-4级,8日（周三）,阴,33,27,东南风转南风,<3级转3-4级
广州,2026-07-05,大雨转中雨,31,26,南风转无持续风向,3-4级转<3级,6日（明天）,大雨转雷阵雨,31,25,南风转无持续风向,3-4级转<3级,7日（后天）,大雨转雷阵雨,30,25,无持续风向转无持续风向,<3级,8日（周三）,中雨转雷阵雨,32,25,无持续风向转无持续风向,<3级
深圳,2026-07-05,雷阵雨转中雨,31,26,南风转无持续风向,3-4级转<3级,6日（明天）,中雨转大雨,31,25,南风转无持续风向,3-4级转<3级,7日（后天）,雷阵雨转中雨,30,25,无持续风向转无持续风向,<3级,8日（周三）,雷阵雨,30,26,无持续风向转无持续风向,<3级
成都,2026-07-05,多云转晴,36,25,无持续风向转无持续风向,<3级,6日（明天）,多云转晴,37,25,无持续风向转无持续风向,<3级,7日（后天）,多云转晴,38,25,无持续风向转无持续风向,<3级,8日（周三）,多云转阵雨,35,25,无持续风向转无持续风向,<3级
杭州,2026-07-05,小雨,31,24,西南风转西南风,<3级,6日（明天）,多云,37,28,南风转西南风,<3级,7日（后天）,多云,38,28,东南风转西南风,<3级,8日（周三）,多云,37,28,东北风转南风,<3级
武汉,2026-07-05,小雨转阴,31,26,南风转南风,3-4级转<3级,6日（明天）,中雨,30,24,南风转东南风,<3级,7日（后天）,中雨转小雨,28,23,西南风转西南风,4-5级转<3级,8日（周三）,阴转小雨,32,25,南风转东南风,<3级
南京,2026-07-05,小雨转阴,29,25,西南风转西南风,3-4级,6日（明天）,阴转小雨,31,24,西南风转东南风,4-5级,7日（后天）,小雨,33,25,南风转南风,<3级转3-4级,8日（周三）,小雨,30,25,西南风转东风,3-4级转<3级
重庆,2026-07-05,晴,36,26,东南风转东南风,<3级,6日（明天）,晴,36,27,东北风转东南风,<3级,7日（后天）,多云转晴,37,27,西北风转东风,<3级,8日（周三）,晴,36,28,东南风转东南风,<3级
西安,2026-07-05,晴,37,25,无持续风向转无持续风向,<3级,6日（明天）,多云转晴,36,25,无持续风向转无持续风向,<3级,7日（后天）,晴,36,24,无持续风向转无持续风向,<3级,8日（周三）,晴转多云,36,24,无持续风向转无持续风向,<3级
