城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-09-13,晴,29,15,北风转北风,<3级,14日（明天）,晴,26,16,南风转北风,<3级,15日（后天）,晴,28,17,南风转东南风,<3级,16日（周三）,晴转多云,30,17,南风转南风,<3级
上海,2026-09-13,多云转晴,30,24,东北风转北风,<3级,14日（明天）,多云,30,23,东北风转东北风,<3级,15日（后天）,阴,28,21,东北风转东北风,<3级,16日（周三）,阴转多云,28,23,东北风转东北风,<3级
广州,2026-09-13,中雨转雷阵雨,31,24,无持续风向转无持续风向,<3级,14日（明天）,雷阵雨,31,24,无持续风向转无持续风向,<3级,15日（后天）,雷阵雨,32,24,无持续风向转无持续风向,<3级,16日（周三）,雷阵雨转多云,32,24,无持续风向转无持续风向,<3级
深圳,2026-09-13,雷阵雨,30,25,东风转无持续风向,3-4级转<3级,14日（明天）,雷阵雨转多云,31,25,无持续风向转无持续风向,<3级,15日（后天）,雷阵雨转多云,32,25,无持续风向转无持续风向,<3级,16日（周三）,多云,31,25,无持续风向转无持续风向,<3级
成都,2026-09-13,阵雨转晴,25,17,无持续风向转无持续风向,<3级,14日（明天）,阴转阵雨,24,18,无持续风向转无持续风向,<3级,15日（后天）,阵雨,21,18,无持续风向转无持续风向,<3级,16日（周三）,小雨,22,17,无持续风向转无持续风向,<3级
杭州,2026-09-13,多云转晴,30,23,东北风转北风,<3级,14日（明天）,多云,30,22,东北风转北风,<3级,15日（后天）,多云转阴,30,20,东北风转北风,<3级,16日（周三）,晴,29,20,东风转西北风,<3级
武汉,2026-09-13,多云,32,20,东北风转东北风,<3级,14日（明天）,多云,29,21,北风转东北风,<3级,15日（后天）,阴,29,21,东北风转北风,<3级,16日（周三）,阵雨,30,21,北风转北风,<3级
南京,2026-09-13,阴转多云,29,21,东北风转东北风,<3级,14日（明天）,多云,29,19,东北风转东北风,3-4级转<3级,15日（后天）,阴转多云,29,19,东风转东风,<3级,16日（周三）,阴,28,20,东风转东风,3-4级转<3级
重庆,2026-09-13,阴,28,22,北风转西南风,<3级,14日（明天）,小雨,28,24,东北风转东风,<3级,15日（后天）,小雨转中雨,24,22,东北风转北风,<3级,16日（周三）,小雨转大雨,26,22,东北风转北风,<3级
西安,2026-09-13,晴转多云,28,16,无持续风向转无持续风向,<3级,14日（明天）,阴,26,18,无持续风向转无持续风向,<3级,15日（后天）,阴转多云,24,16,无持续风向转无持续风向,<3级,16日（周三）,阴,26,18,无持续风向转无持续风向,<3级
