城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-05-30,晴,34,20,西南风转西南风,<3级转3-4级,31日（明天）,多云,31,20,西南风转北风,<3级,1日（后天）,晴转多云,33,20,南风转西南风,<3级,2日（周二）,多云转阴,33,16,南风转东风,<3级
上海,2026-05-30,多云,29,19,东风转东风,<3级,31日（明天）,晴转多云,30,21,东南风转东南风,<3级,1日（后天）,多云,30,23,东南风转东风,<3级,2日（周二）,阴转多云,31,22,东风转东南风,<3级
广州,2026-05-30,中雨转多云,34,26,无持续风向转无持续风向,<3级,31日（明天）,中雨转多云,33,26,无持续风向转无持续风向,<3级,1日（后天）,雷阵雨转多云,33,27,无持续风向转无持续风向,<3级,2日（周二）,多云,34,28,无持续风向转无持续风向,<3级
深圳,2026-05-30,中雨转晴,31,25,无持续风向转无持续风向,<3级,31日（明天）,中雨转多云,32,26,无持续风向转无持续风向,<3级,1日（后天）,雷阵雨转多云,33,28,无持续风向转无持续风向,<3级,2日（周二）,多云,33,27,无持续风向转无持续风向,<3级
成都,2026-05-30,晴转多云,31,20,无持续风向转无持续风向,<3级,31日（明天）,阴,31,22,无持续风向转无持续风向,<3级,1日（后天）,多云,32,21,无持续风向转无持续风向,<3级,2日（周二）,多云转小雨,32,20,无持续风向转无持续风向,<3级
杭州,2026-05-30,多云,28,20,东北风转东南风,<3级,31日（明天）,晴,31,20,东风转东风,<3级,1日（后天）,晴转多云,33,23,东北风转南风,<3级,2日（周二）,小雨转晴,33,24,东北风转西南风,<3级
武汉,2026-05-30,多云转晴,29,19,北风转西南风,<3级,31日（明天）,多云转晴,30,21,西南风转西北风,<3级,1日（后天）,多云转晴,31,23,北风转西北风,<3级,2日（周二）,晴转多云,33,24,西风转南风,<3级
南京,2026-05-30,多云,27,17,东南风转东风,<3级,31日（明天）,多云,30,19,东南风转东南风,<3级,1日（后天）,多云,31,21,东风转东风,<3级,2日（周二）,晴,31,22,东北风转东风,<3级
重庆,2026-05-30,多云,29,20,北风转东北风,<3级,31日（明天）,多云转中雨,32,22,东北风转西南风,<3级,1日（后天）,小雨转多云,28,22,东北风转东北风,<3级,2日（周二）,多云转中雨,32,24,西南风转西南风,<3级
西安,2026-05-30,多云转阴,29,17,无持续风向转无持续风向,<3级,31日（明天）,多云,27,20,无持续风向转无持续风向,<3级,1日（后天）,多云转晴,25,17,无持续风向转无持续风向,<3级,2日（周二）,晴转阴,24,20,无持续风向转无持续风向,<3级
