城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-09-05,晴,32,20,南风转南风,<3级,6日（明天）,多云转阴,30,20,南风转南风,<3级,7日（后天）,小雨,28,17,东北风转东北风,<3级,8日（周二）,阴转多云,25,14,北风转北风,<3级
上海,2026-09-05,小雨,30,24,东北风转北风,<3级,6日（明天）,多云转晴,30,24,北风转北风,<3级,7日（后天）,多云转晴,30,24,北风转西北风,<3级,8日（周二）,多云转小雨,29,24,北风转北风,<3级
广州,2026-09-05,雷阵雨,32,25,无持续风向转无持续风向,<3级,6日（明天）,中雨转多云,30,25,无持续风向转无持续风向,<3级,7日（后天）,晴转雷阵雨,34,26,无持续风向转无持续风向,<3级,8日（周二）,雷阵雨转多云,34,24,无持续风向转无持续风向,<3级
深圳,2026-09-05,多云,31,26,无持续风向转无持续风向,<3级,6日（明天）,中雨转多云,30,26,无持续风向转无持续风向,<3级,7日（后天）,雷阵雨,33,26,无持续风向转无持续风向,<3级,8日（周二）,雷阵雨转多云,33,26,无持续风向转无持续风向,<3级
成都,2026-09-05,晴,33,23,无持续风向转无持续风向,<3级,6日（明天）,晴转多云,33,24,无持续风向转无持续风向,<3级,7日（后天）,多云转阵雨,33,23,无持续风向转无持续风向,<3级,8日（周二）,多云转中雨,28,21,无持续风向转无持续风向,<3级
杭州,2026-09-05,多云,30,24,北风转北风,<3级,6日（明天）,阴转小雨,29,23,北风转北风,<3级,7日（后天）,晴,29,22,北风转北风,<3级,8日（周二）,小雨,28,22,北风转北风,<3级
武汉,2026-09-05,多云转晴,31,21,东北风转东北风,<3级,6日（明天）,晴,32,21,东北风转东北风,<3级,7日（后天）,多云转晴,32,21,东南风转东南风,<3级,8日（周二）,晴转多云,32,22,东北风转东北风,<3级
南京,2026-09-05,阴转多云,29,21,北风转北风,<3级,6日（明天）,多云,29,20,北风转北风,3-4级转<3级,7日（后天）,多云,28,20,东北风转东北风,<3级,8日（周二）,晴,27,21,东北风转北风,3-4级
重庆,2026-09-05,多云转晴,36,27,南风转南风,<3级,6日（明天）,晴,36,28,东南风转东南风,<3级,7日（后天）,多云转晴,37,29,东南风转东风,<3级,8日（周二）,多云转晴,37,29,南风转东南风,<3级
西安,2026-09-05,晴,30,23,无持续风向转无持续风向,<3级,6日（明天）,晴转多云,33,24,无持续风向转无持续风向,<3级,7日（后天）,阴,31,22,无持续风向转无持续风向,<3级,8日（周二）,小雨,26,18,无持续风向转无持续风向,<3级
