城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-07-12,雷阵雨,33,24,东风转东北风,<3级,13日（明天）,雷阵雨转多云,32,24,东北风转北风,<3级,14日（后天）,晴,34,22,西南风转西南风,<3级,15日（周三）,晴,35,25,西南风转西南风,<3级
上海,2026-07-12,阴,30,27,东南风转南风,4-5级转3-4级,13日（明天）,小雨转阴,33,28,南风转南风,3-4级转<3级,14日（后天）,阴转多云,35,28,西南风转西南风,<3级,15日（周三）,小雨转阴,36,29,西风转西南风,<3级
广州,2026-07-12,晴,36,26,无持续风向转无持续风向,<3级,13日（明天）,多云转雷阵雨,35,26,无持续风向转无持续风向,<3级,14日（后天）,中雨转雷阵雨,32,24,无持续风向转无持续风向,<3级,15日（周三）,雷阵雨,33,26,无持续风向转无持续风向,<3级
深圳,2026-07-12,晴,35,28,无持续风向转无持续风向,<3级,13日（明天）,雷阵雨,32,25,无持续风向转无持续风向,<3级,14日（后天）,大雨转中雨,29,24,无持续风向转无持续风向,<3级,15日（周三）,雷阵雨,31,26,无持续风向转无持续风向,<3级
成都,2026-07-12,晴,35,25,无持续风向转无持续风向,<3级,13日（明天）,雷阵雨转多云,36,26,无持续风向转无持续风向,<3级,14日（后天）,雷阵雨转阵雨,36,26,无持续风向转无持续风向,<3级,15日（周三）,阴转小雨,36,25,无持续风向转无持续风向,<3级
杭州,2026-07-12,小雨转中雨,30,26,南风转南风,3-4级,13日（明天）,小雨,33,27,西南风转西南风,<3级,14日（后天）,多云,36,28,南风转西南风,<3级,15日（周三）,小雨转多云,38,29,东南风转西南风,<3级
武汉,2026-07-12,小雨,33,28,北风转西风,3-4级转<3级,13日（明天）,小雨,35,29,西南风转南风,<3级,14日（后天）,阴转多云,37,30,南风转南风,<3级,15日（周三）,多云,37,30,南风转南风,<3级
南京,2026-07-12,中雨转暴雨,31,25,东风转东南风,8-9级转7-8级,13日（明天）,大雨转中雨,27,25,西南风转西南风,7-8级转6-7级,14日（后天）,小雨转多云,33,27,西南风转西南风,6-7级转4-5级,15日（周三）,阴,35,28,西南风转西南风,5-6级转3-4级
重庆,2026-07-12,多云转晴,36,29,西南风转西南风,<3级,13日（明天）,晴,38,30,东南风转东南风,<3级,14日（后天）,多云转晴,40,31,南风转东南风,<3级,15日（周三）,晴,39,32,南风转东南风,<3级
西安,2026-07-12,多云,32,24,无持续风向转无持续风向,<3级,13日（明天）,晴,35,26,无持续风向转无持续风向,<3级,14日（后天）,小雨,38,25,无持续风向转无持续风向,<3级,15日（周三）,小雨,35,25,无持续风向转无持续风向,<3级
