城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-08-11,雷阵雨,32,23,南风转东北风,<3级,12日（明天）,大雨,27,21,东北风转东北风,<3级,13日（后天）,中雨转雷阵雨,26,20,北风转北风,<3级,14日（周五）,雷阵雨,28,22,东风转北风,<3级
上海,2026-08-11,中雨转阴,30,26,东南风转东风,5-6级转<3级,12日（明天）,小雨,30,26,东北风转东风,<3级,13日（后天）,小雨转中雨,30,26,东风转东南风,<3级,14日（周五）,大雨转小雨,32,25,东南风转西南风,<3级
广州,2026-08-11,多云,36,27,无持续风向转无持续风向,<3级,12日（明天）,多云转中雨,37,27,无持续风向转无持续风向,<3级,13日（后天）,雷阵雨,36,27,无持续风向转无持续风向,<3级,14日（周五）,雷阵雨转中雨,32,25,无持续风向转无持续风向,<3级
深圳,2026-08-11,多云,34,29,无持续风向转无持续风向,<3级,12日（明天）,多云转雷阵雨,35,29,无持续风向转无持续风向,<3级,13日（后天）,雷阵雨,33,29,无持续风向转无持续风向,<3级,14日（周五）,中雨,32,26,无持续风向转无持续风向,<3级
成都,2026-08-11,雷阵雨转晴,35,25,无持续风向转无持续风向,<3级,12日（明天）,雷阵雨转多云,37,26,无持续风向转无持续风向,<3级,13日（后天）,晴,36,24,无持续风向转无持续风向,<3级,14日（周五）,多云,35,24,无持续风向转无持续风向,<3级
杭州,2026-08-11,中雨转阴,32,26,东风转西南风,<3级,12日（明天）,小雨转阴,34,26,东北风转西南风,<3级,13日（后天）,中雨转小雨,32,25,东北风转西南风,<3级,14日（周五）,中雨转阴,33,25,西南风转西南风,<3级
武汉,2026-08-11,阴转小雨,30,25,北风转南风,<3级,12日（明天）,小雨,29,22,北风转西北风,<3级,13日（后天）,小雨,25,21,北风转北风,<3级,14日（周五）,阴,26,22,北风转西北风,<3级
南京,2026-08-11,中雨转小雨,29,25,东风转东风,6-7级转5-6级,12日（明天）,小雨,31,25,东风转东风,5-6级转4-5级,13日（后天）,中雨,31,24,东南风转东南风,3-4级转<3级,14日（周五）,中雨转小雨,30,23,西南风转西南风,3-4级
重庆,2026-08-11,晴转多云,37,26,西北风转东北风,<3级,12日（明天）,多云,38,27,北风转东风,<3级,13日（后天）,晴,38,28,北风转北风,<3级,14日（周五）,晴,39,28,西北风转南风,<3级
西安,2026-08-11,阴转多云,30,23,无持续风向转无持续风向,<3级,12日（明天）,小雨转晴,30,22,无持续风向转无持续风向,<3级,13日（后天）,小雨转晴,28,22,无持续风向转无持续风向,<3级,14日（周五）,多云转晴,27,22,无持续风向转无持续风向,<3级
