城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-06-05,多云转雷阵雨,27,15,南风转北风,<3级,6日（明天）,小雨转多云,20,12,北风转西南风,<3级,7日（后天）,多云转晴,25,12,西南风转西南风,<3级,8日（周一）,多云转雷阵雨,30,15,南风转东北风,<3级
上海,2026-06-05,多云转阴,29,21,东北风转东风,<3级,6日（明天）,阴转晴,28,21,东风转东北风,<3级,7日（后天）,多云转阴,29,22,东北风转东北风,<3级,8日（周一）,小雨转多云,27,20,东北风转东北风,<3级
广州,2026-06-05,雷阵雨转中雨,35,25,无持续风向转无持续风向,<3级,6日（明天）,雷阵雨转中雨,34,25,无持续风向转无持续风向,<3级,7日（后天）,中雨转大雨,31,25,无持续风向转无持续风向,<3级,8日（周一）,中雨转大雨,29,24,无持续风向转无持续风向,<3级
深圳,2026-06-05,多云转雷阵雨,33,27,无持续风向转无持续风向,<3级,6日（明天）,雷阵雨,32,27,无持续风向转无持续风向,<3级,7日（后天）,中雨,31,26,无持续风向转无持续风向,<3级,8日（周一）,中雨转大雨,30,24,无持续风向转无持续风向,<3级
成都,2026-06-05,多云转晴,34,23,无持续风向转无持续风向,<3级,6日（明天）,雷阵雨转阵雨,33,20,无持续风向转无持续风向,<3级,7日（后天）,阵雨,23,18,无持续风向转无持续风向,<3级,8日（周一）,阴转阵雨,23,16,无持续风向转无持续风向,<3级
杭州,2026-06-05,多云,30,21,东风转东南风,<3级,6日（明天）,晴转多云,30,21,东北风转南风,<3级,7日（后天）,多云,31,22,东风转东北风,<3级,8日（周一）,小雨,25,19,东风转北风,<3级
武汉,2026-06-05,多云,33,25,东南风转东南风,<3级,6日（明天）,多云,33,22,东南风转北风,<3级,7日（后天）,多云转小雨,27,18,北风转北风,3-4级转<3级,8日（周一）,小雨转阴,23,18,北风转西北风,<3级
南京,2026-06-05,多云转晴,33,21,东风转东风,4-5级转3-4级,6日（明天）,多云,33,19,东南风转东北风,4-5级转3-4级,7日（后天）,阴,32,21,东北风转东北风,<3级转3-4级,8日（周一）,多云,24,19,东风转东风,<3级
重庆,2026-06-05,多云,33,24,东风转东北风,<3级,6日（明天）,多云转中雨,35,24,东南风转西风,<3级,7日（后天）,大雨转中雨,28,19,北风转西北风,<3级,8日（周一）,小雨,21,19,北风转西风,<3级
西安,2026-06-05,多云,35,24,无持续风向转无持续风向,<3级,6日（明天）,中雨转小雨,29,21,无持续风向转无持续风向,<3级,7日（后天）,阴,25,17,无持续风向转无持续风向,<3级,8日（周一）,阴,29,17,无持续风向转无持续风向,<3级
