城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-07-27,多云,33,24,南风转南风,<3级,28日（明天）,晴,34,25,南风转南风,<3级,29日（后天）,晴转多云,33,24,南风转南风,<3级,30日（周四）,雷阵雨转多云,33,25,南风转南风,<3级
上海,2026-07-27,阴,34,28,南风转东南风,<3级,28日（明天）,阴,34,28,东南风转东南风,<3级,29日（后天）,阴转多云,35,29,南风转南风,<3级,30日（周四）,多云转晴,37,28,东南风转东南风,<3级
广州,2026-07-27,大雨转雷阵雨,30,24,无持续风向转无持续风向,<3级,28日（明天）,中雨转雷阵雨,32,25,无持续风向转无持续风向,<3级,29日（后天）,中雨,29,24,无持续风向转无持续风向,<3级,30日（周四）,中雨转雷阵雨,29,24,无持续风向转无持续风向,<3级
深圳,2026-07-27,大雨转雷阵雨,28,25,无持续风向转无持续风向,<3级,28日（明天）,中雨转大雨,31,24,无持续风向转无持续风向,<3级,29日（后天）,大雨转雷阵雨,28,24,无持续风向转无持续风向,<3级,30日（周四）,中雨转雷阵雨,28,25,无持续风向转无持续风向,<3级
成都,2026-07-27,阵雨,31,23,无持续风向转无持续风向,<3级,28日（明天）,阵雨,32,23,无持续风向转无持续风向,<3级,29日（后天）,阵雨,29,22,无持续风向转无持续风向,<3级,30日（周四）,中雨,24,21,无持续风向转无持续风向,<3级
杭州,2026-07-27,多云,37,28,东南风转南风,<3级,28日（明天）,多云,36,27,西南风转南风,<3级,29日（后天）,小雨转多云,37,28,东南风转西南风,<3级,30日（周四）,小雨转晴,39,29,北风转西南风,<3级
武汉,2026-07-27,小雨转中雨,33,27,东风转东南风,<3级,28日（明天）,中雨转小雨,30,26,东风转东南风,<3级,29日（后天）,小雨,32,26,南风转东南风,<3级,30日（周四）,多云转阴,33,27,南风转东南风,<3级
南京,2026-07-27,多云转阴,35,27,东风转东南风,3-4级,28日（明天）,多云,35,27,东南风转东南风,<3级,29日（后天）,多云,35,26,东南风转东风,<3级,30日（周四）,多云,35,26,西南风转西南风,<3级
重庆,2026-07-27,雷阵雨转多云,39,29,南风转西风,<3级,28日（明天）,多云转阴,38,28,西南风转西风,<3级,29日（后天）,多云,38,29,南风转东南风,<3级,30日（周四）,阴转小雨,39,30,南风转北风,<3级
西安,2026-07-27,阴,35,26,无持续风向转无持续风向,<3级,28日（明天）,小雨转晴,36,26,无持续风向转无持续风向,<3级,29日（后天）,晴,35,26,无持续风向转无持续风向,<3级,30日（周四）,多云转晴,35,26,无持续风向转无持续风向,<3级
