城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-08-07,雷阵雨,35,23,东风转北风,<3级,8日（明天）,多云转晴,30,20,南风转东南风,<3级,9日（后天）,晴,31,21,东南风转南风,<3级,10日（周一）,多云转雷阵雨,31,23,东南风转东风,<3级
上海,2026-08-07,阴,34,28,东北风转东北风,5-6级,8日（明天）,小雨,32,27,东北风转东北风,5-6级,9日（后天）,中雨转大雨,29,26,东北风转东风,5-6级,10日（周一）,中雨,28,26,东风转东风,5-6级
广州,2026-08-07,晴,36,26,无持续风向转无持续风向,<3级,8日（明天）,多云,37,28,无持续风向转无持续风向,<3级,9日（后天）,多云,38,28,无持续风向转无持续风向,<3级,10日（周一）,雷阵雨转多云,34,27,无持续风向转无持续风向,<3级
深圳,2026-08-07,晴,34,27,无持续风向转无持续风向,<3级,8日（明天）,多云,35,28,无持续风向转无持续风向,<3级,9日（后天）,多云,36,28,无持续风向转无持续风向,<3级,10日（周一）,雷阵雨转多云,33,27,无持续风向转无持续风向,<3级
成都,2026-08-07,多云,33,23,无持续风向转无持续风向,<3级,8日（明天）,阵雨,32,24,无持续风向转无持续风向,<3级,9日（后天）,阵雨,33,24,无持续风向转无持续风向,<3级,10日（周一）,多云,34,25,无持续风向转无持续风向,<3级
杭州,2026-08-07,小雨转多云,36,29,北风转北风,<3级,8日（明天）,中雨,36,24,东风转北风,<3级,9日（后天）,中雨转大雨,30,24,东北风转东北风,<3级,10日（周一）,大雨转小雨,29,26,东风转东风,<3级
武汉,2026-08-07,晴,36,27,东北风转东北风,<3级,8日（明天）,晴,36,27,东北风转北风,<3级转3-4级,9日（后天）,晴转多云,34,26,北风转北风,3-4级转<3级,10日（周一）,阵雨转大雨,32,25,西北风转西北风,<3级
南京,2026-08-07,晴转多云,35,27,东北风转北风,4-5级,8日（明天）,小雨,34,28,东北风转东北风,4-5级,9日（后天）,小雨转中雨,32,26,东北风转东北风,4-5级,10日（周一）,中雨,28,25,东北风转东北风,5-6级转4-5级
重庆,2026-08-07,小雨转多云,33,26,东南风转西南风,<3级,8日（明天）,多云转小雨,34,26,西北风转西风,<3级,9日（后天）,小雨,34,26,东北风转西南风,<3级,10日（周一）,晴,35,27,西北风转西南风,<3级
西安,2026-08-07,多云转小雨,30,23,无持续风向转无持续风向,<3级,8日（明天）,多云,30,24,无持续风向转无持续风向,<3级,9日（后天）,小雨,29,22,无持续风向转无持续风向,<3级,10日（周一）,晴,28,22,无持续风向转无持续风向,<3级
