城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-05-31,多云转晴,33,20,西南风转北风,<3级,1日（明天）,多云,34,21,南风转西南风,<3级,2日（后天）,多云转阴,35,22,南风转东北风,<3级,3日（周三）,雷阵雨转晴,34,16,东风转东北风,<3级
上海,2026-05-31,晴转阴,30,20,东南风转东风,3-4级转<3级,1日（明天）,多云转阴,31,23,东风转东风,<3级,2日（后天）,阴转多云,33,23,东风转东南风,<3级,3日（周三）,小雨转大雨,33,22,西风转西北风,<3级
广州,2026-05-31,雷阵雨,33,26,无持续风向转无持续风向,<3级,1日（明天）,多云转晴,33,26,无持续风向转无持续风向,<3级,2日（后天）,多云,35,27,无持续风向转无持续风向,<3级,3日（周三）,多云,35,27,无持续风向转无持续风向,<3级
深圳,2026-05-31,雷阵雨转晴,31,23,无持续风向转无持续风向,<3级,1日（明天）,多云转晴,31,26,无持续风向转无持续风向,<3级,2日（后天）,雷阵雨,33,27,无持续风向转无持续风向,<3级,3日（周三）,多云,33,28,无持续风向转无持续风向,<3级
成都,2026-05-31,多云转阴,30,21,无持续风向转无持续风向,<3级,1日（明天）,多云,32,21,无持续风向转无持续风向,<3级,2日（后天）,多云转阴,31,21,无持续风向转无持续风向,<3级,3日（周三）,多云,32,21,无持续风向转无持续风向,<3级
杭州,2026-05-31,晴,31,20,东风转西风,<3级,1日（明天）,晴转多云,32,23,东风转南风,<3级,2日（后天）,小雨转晴,33,24,东北风转西南风,<3级,3日（周三）,小雨转大雨,34,23,东风转西北风,<3级
武汉,2026-05-31,多云转晴,30,20,西南风转西北风,<3级,1日（明天）,晴,32,21,西北风转北风,<3级,2日（后天）,多云转中雨,33,24,西南风转南风,<3级,3日（周三）,中雨,26,23,南风转北风,<3级
南京,2026-05-31,多云转晴,31,20,东南风转东南风,<3级,1日（明天）,多云转晴,31,21,东风转东风,<3级,2日（后天）,晴转多云,32,23,东风转东南风,<3级,3日（周三）,阴转多云,31,23,西南风转西北风,<3级
重庆,2026-05-31,多云转小雨,32,21,东北风转西南风,<3级,1日（明天）,小雨转多云,30,23,东北风转东北风,<3级,2日（后天）,多云转中雨,33,24,西南风转西南风,<3级,3日（周三）,小雨转多云,30,24,西北风转西南风,<3级
西安,2026-05-31,多云转晴,27,19,无持续风向转无持续风向,<3级,1日（明天）,晴,28,18,无持续风向转无持续风向,<3级,2日（后天）,多云,25,20,无持续风向转无持续风向,<3级,3日（周三）,晴,26,20,无持续风向转无持续风向,<3级
