城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-08-02,雷阵雨,33,25,南风转东风,<3级,3日（明天）,雷阵雨,32,24,南风转东南风,<3级,4日（后天）,雷阵雨转多云,31,24,西南风转北风,<3级,5日（周三）,多云,33,24,西风转北风,<3级
上海,2026-08-02,小雨转晴,37,29,东南风转东南风,<3级,3日（明天）,多云转阴,37,27,东北风转东南风,<3级,4日（后天）,阴,36,28,东风转东风,<3级,5日（周三）,小雨,35,28,东北风转东北风,<3级
广州,2026-08-02,中雨,29,25,无持续风向转无持续风向,<3级,3日（明天）,中雨转雷阵雨,29,23,无持续风向转无持续风向,<3级,4日（后天）,大雨转雷阵雨,30,24,无持续风向转无持续风向,<3级,5日（周三）,雷阵雨转多云,31,25,无持续风向转无持续风向,<3级
深圳,2026-08-02,大雨,27,24,东南风转东南风,4-5级,3日（明天）,中雨转雷阵雨,28,23,无持续风向转无持续风向,<3级,4日（后天）,中雨转雷阵雨,28,25,无持续风向转无持续风向,<3级,5日（周三）,雷阵雨,30,25,无持续风向转无持续风向,<3级
成都,2026-08-02,阵雨转多云,25,21,无持续风向转无持续风向,<3级,3日（明天）,多云转晴,32,22,无持续风向转无持续风向,<3级,4日（后天）,多云转晴,33,23,无持续风向转无持续风向,<3级,5日（周三）,多云转小雨,30,22,无持续风向转无持续风向,<3级
杭州,2026-08-02,多云,40,28,东北风转东北风,<3级,3日（明天）,晴,40,29,东风转东北风,<3级,4日（后天）,多云转小雨,38,29,东风转东风,<3级,5日（周三）,中雨转小雨,34,26,东北风转北风,<3级
武汉,2026-08-02,晴,36,26,东南风转东南风,<3级,3日（明天）,晴,36,26,东南风转东北风,<3级,4日（后天）,晴,36,27,东南风转东南风,<3级,5日（周三）,多云,36,26,北风转西南风,<3级
南京,2026-08-02,晴转多云,37,28,南风转东风,<3级,3日（明天）,多云转晴,38,27,东风转东风,<3级,4日（后天）,多云,36,27,东风转东风,3-4级转<3级,5日（周三）,多云,33,27,东风转东北风,<3级
重庆,2026-08-02,雷阵雨转中雨,33,26,西南风转西南风,<3级,3日（明天）,小雨,29,26,西南风转东北风,<3级,4日（后天）,小雨转多云,34,25,北风转南风,<3级,5日（周三）,小雨,35,25,东南风转东北风,<3级
西安,2026-08-02,小雨转中雨,30,21,无持续风向转无持续风向,<3级,3日（明天）,中雨转多云,29,22,无持续风向转无持续风向,<3级,4日（后天）,多云转小雨,32,23,无持续风向转无持续风向,<3级,5日（周三）,小雨,33,24,无持续风向转无持续风向,<3级
