城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-06-11,晴转多云,31,19,南风转西南风,<3级,12日（明天）,雷阵雨,32,20,南风转东北风,<3级,13日（后天）,雷阵雨转多云,28,19,东风转北风,<3级,14日（周日）,多云,27,19,北风转北风,<3级
上海,2026-06-11,阴,32,22,南风转南风,<3级,12日（明天）,阴,31,22,南风转南风,<3级,13日（后天）,阴转小雨,28,21,南风转东南风,<3级,14日（周日）,小雨,27,21,东风转东风,<3级
广州,2026-06-11,多云,32,24,无持续风向转无持续风向,<3级,12日（明天）,雷阵雨,29,25,无持续风向转无持续风向,<3级,13日（后天）,中雨,31,25,无持续风向转无持续风向,<3级,14日（周日）,中雨转大雨,28,24,无持续风向转无持续风向,<3级
深圳,2026-06-11,多云,30,25,无持续风向转无持续风向,<3级,12日（明天）,雷阵雨转中雨,29,25,无持续风向转无持续风向,<3级,13日（后天）,大雨,29,25,无持续风向转无持续风向,<3级,14日（周日）,中雨转大雨,30,24,无持续风向转无持续风向,<3级
成都,2026-06-11,多云转阴,28,20,无持续风向转无持续风向,<3级,12日（明天）,多云转阴,28,19,无持续风向转无持续风向,<3级,13日（后天）,晴转阴,30,20,无持续风向转无持续风向,<3级,14日（周日）,多云,31,20,无持续风向转无持续风向,<3级
杭州,2026-06-11,多云,33,22,东风转南风,<3级,12日（明天）,多云,34,24,东南风转南风,<3级,13日（后天）,多云,23,19,东南风转东风,<3级,14日（周日）,小雨,26,21,东北风转东北风,<3级
武汉,2026-06-11,阴,30,21,南风转东南风,<3级,12日（明天）,阴转阵雨,28,22,西南风转南风,<3级,13日（后天）,阴转晴,27,21,南风转东南风,<3级,14日（周日）,晴,31,23,南风转东风,<3级
南京,2026-06-11,多云,34,22,南风转东南风,3-4级转<3级,12日（明天）,阴,35,24,南风转东南风,3-4级转<3级,13日（后天）,多云转阴,32,22,南风转东南风,3-4级转<3级,14日（周日）,小雨转多云,29,22,东南风转东风,3-4级转<3级
重庆,2026-06-11,小雨,27,21,东北风转北风,<3级,12日（明天）,小雨,25,22,西北风转西风,<3级,13日（后天）,多云,30,20,西风转南风,<3级,14日（周日）,多云,32,22,东北风转东北风,<3级
西安,2026-06-11,多云转阴,34,22,无持续风向转无持续风向,<3级,12日（明天）,多云,33,20,无持续风向转无持续风向,<3级,13日（后天）,晴转多云,37,21,无持续风向转无持续风向,<3级,14日（周日）,晴转阴,38,23,无持续风向转无持续风向,<3级
