城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-06-27,多云转阴,34,23,南风转南风,<3级,28日（明天）,雷阵雨,31,21,东南风转东风,<3级,29日（后天）,雷阵雨转多云,29,20,东南风转东风,<3级,30日（周二）,多云,29,21,西风转东南风,<3级
上海,2026-06-27,多云,29,22,东南风转东南风,<3级,28日（明天）,多云转阴,29,23,东南风转东南风,<3级,29日（后天）,阴转中雨,28,23,东南风转东南风,<3级,30日（周二）,暴雨转小雨,27,23,西风转东北风,<3级
广州,2026-06-27,雷阵雨转中雨,32,25,无持续风向转无持续风向,<3级,28日（明天）,中雨转雷阵雨,31,26,无持续风向转无持续风向,<3级,29日（后天）,雷阵雨,32,26,无持续风向转无持续风向,<3级,30日（周二）,雷阵雨,34,26,无持续风向转无持续风向,<3级
深圳,2026-06-27,中雨转大雨,32,26,无持续风向转无持续风向,<3级,28日（明天）,中雨,31,26,无持续风向转无持续风向,<3级,29日（后天）,雷阵雨,32,27,无持续风向转无持续风向,<3级,30日（周二）,雷阵雨,32,27,无持续风向转无持续风向,<3级
成都,2026-06-27,多云转阴,31,21,无持续风向转无持续风向,<3级,28日（明天）,阴转阵雨,28,20,无持续风向转无持续风向,<3级,29日（后天）,阵雨转多云,29,20,无持续风向转无持续风向,<3级,30日（周二）,小雨,31,23,无持续风向转无持续风向,<3级
杭州,2026-06-27,晴,31,23,东北风转南风,<3级,28日（明天）,多云,32,24,东风转东南风,<3级,29日（后天）,中雨,30,23,东南风转南风,<3级,30日（周二）,大雨,26,23,西风转西南风,<3级
武汉,2026-06-27,晴,33,23,东风转东风,<3级,28日（明天）,阴,34,25,东南风转东风,<3级,29日（后天）,阴转中雨,30,24,东风转西南风,<3级,30日（周二）,小雨,28,24,西南风转南风,<3级
南京,2026-06-27,晴,30,21,东北风转东风,<3级,28日（明天）,多云转阴,30,23,东风转东风,<3级,29日（后天）,阴,31,24,东南风转东风,3-4级转<3级,30日（周二）,小雨转阴,29,23,东风转东风,<3级
重庆,2026-06-27,小雨,29,21,西南风转西北风,<3级,28日（明天）,中雨转大雨,26,23,西北风转东北风,<3级,29日（后天）,小雨,24,21,东北风转东北风,<3级,30日（周二）,小雨,24,21,东北风转西南风,<3级
西安,2026-06-27,晴,33,23,无持续风向转无持续风向,<3级,28日（明天）,多云,34,22,无持续风向转无持续风向,<3级,29日（后天）,小雨,33,22,无持续风向转无持续风向,<3级,30日（周二）,阴,32,22,无持续风向转无持续风向,<3级
