城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-09-16,晴转多云,30,18,南风转南风,<3级,17日（明天）,多云,30,19,南风转东风,<3级,18日（后天）,小雨转多云,27,18,东南风转东风,<3级,19日（周六）,多云,27,18,南风转西北风,<3级
上海,2026-09-16,阴,29,23,东北风转东北风,<3级,17日（明天）,阴,28,24,东风转东北风,<3级,18日（后天）,小雨转阴,30,24,东北风转东北风,<3级,19日（周六）,小雨转多云,30,25,东北风转东北风,<3级
广州,2026-09-16,雷阵雨转多云,32,24,无持续风向转无持续风向,<3级,17日（明天）,多云,33,24,无持续风向转无持续风向,<3级,18日（后天）,多云,34,25,无持续风向转无持续风向,<3级,19日（周六）,多云,34,25,无持续风向转无持续风向,<3级
深圳,2026-09-16,雷阵雨转多云,31,25,无持续风向转无持续风向,<3级,17日（明天）,晴,32,25,无持续风向转无持续风向,<3级,18日（后天）,晴转多云,32,25,无持续风向转无持续风向,<3级,19日（周六）,多云,32,25,无持续风向转无持续风向,<3级
成都,2026-09-16,阵雨,23,17,无持续风向转无持续风向,<3级,17日（明天）,阵雨转多云,25,18,无持续风向转无持续风向,<3级,18日（后天）,阵雨转多云,24,20,无持续风向转无持续风向,<3级,19日（周六）,小雨,23,19,无持续风向转无持续风向,<3级
杭州,2026-09-16,晴转多云,30,21,东北风转东北风,<3级,17日（明天）,多云,31,22,东风转东北风,<3级,18日（后天）,多云,31,23,东北风转北风,<3级,19日（周六）,小雨,31,23,东北风转北风,<3级
武汉,2026-09-16,阴转阵雨,28,20,东北风转东北风,<3级,17日（明天）,中雨转阵雨,24,18,东北风转东北风,<3级,18日（后天）,阵雨,25,20,北风转北风,<3级,19日（周六）,多云,29,21,东北风转东北风,<3级
南京,2026-09-16,阴,29,21,东风转东风,<3级,17日（明天）,阴转小雨,28,22,东风转东风,<3级,18日（后天）,多云,30,22,东风转东北风,<3级,19日（周六）,晴,30,20,东北风转东北风,<3级
重庆,2026-09-16,小雨,23,20,东北风转北风,<3级,17日（明天）,小雨,25,21,东风转北风,<3级,18日（后天）,小雨转中雨,27,22,东北风转东北风,<3级,19日（周六）,多云转阴,30,24,北风转北风,<3级
西安,2026-09-16,多云,28,17,无持续风向转无持续风向,<3级,17日（明天）,阴转多云,25,18,无持续风向转无持续风向,<3级,18日（后天）,多云转小雨,23,19,无持续风向转无持续风向,<3级,19日（周六）,小雨,24,20,无持续风向转无持续风向,<3级
