城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-09-08,阵雨转多云,21,16,北风转北风,<3级,9日（明天）,晴,25,14,南风转西南风,<3级,10日（后天）,晴,28,14,西南风转西南风,<3级,11日（周五）,晴,28,14,南风转西南风,<3级
上海,2026-09-08,阴,31,24,北风转北风,<3级,9日（明天）,多云,29,22,北风转西北风,<3级,10日（后天）,小雨,30,24,东北风转东北风,<3级,11日（周五）,多云,30,24,东北风转东北风,<3级
广州,2026-09-08,晴转多云,33,25,无持续风向转无持续风向,<3级,9日（明天）,晴转雷阵雨,33,24,无持续风向转无持续风向,<3级,10日（后天）,晴,32,24,无持续风向转无持续风向,<3级,11日（周五）,雷阵雨转多云,31,24,无持续风向转无持续风向,<3级
深圳,2026-09-08,多云转雷阵雨,33,26,无持续风向转无持续风向,<3级,9日（明天）,雷阵雨转晴,32,24,无持续风向转无持续风向,<3级,10日（后天）,雷阵雨转晴,32,25,无持续风向转无持续风向,<3级,11日（周五）,多云,31,25,无持续风向转无持续风向,<3级
成都,2026-09-08,阵雨,29,22,无持续风向转无持续风向,<3级,9日（明天）,阵雨转大雨,25,19,无持续风向转无持续风向,<3级,10日（后天）,阵雨,20,18,无持续风向转无持续风向,<3级,11日（周五）,多云转阴,22,17,无持续风向转无持续风向,<3级
杭州,2026-09-08,晴,30,22,北风转北风,<3级,9日（明天）,多云转晴,28,21,东北风转西北风,<3级,10日（后天）,多云转小雨,27,22,西北风转东北风,<3级,11日（周五）,小雨转晴,28,21,东风转北风,<3级
武汉,2026-09-08,多云转晴,34,23,东北风转东北风,<3级,9日（明天）,多云转晴,29,19,东北风转东北风,3-4级,10日（后天）,晴转多云,27,18,北风转北风,<3级,11日（周五）,多云,26,18,北风转北风,<3级
南京,2026-09-08,多云,29,20,东北风转北风,3-4级,9日（明天）,多云转阴,27,19,北风转北风,4-5级转3-4级,10日（后天）,阴,26,20,北风转东北风,3-4级,11日（周五）,阴转多云,24,19,东北风转东北风,3-4级转<3级
重庆,2026-09-08,晴转多云,37,27,南风转东南风,<3级,9日（明天）,多云,36,25,东南风转南风,<3级,10日（后天）,小雨,27,22,西南风转西南风,<3级,11日（周五）,小雨转多云,28,22,西北风转西风,<3级
西安,2026-09-08,中雨,23,16,无持续风向转无持续风向,<3级,9日（明天）,中雨,21,16,无持续风向转无持续风向,<3级,10日（后天）,小雨,19,16,无持续风向转无持续风向,<3级,11日（周五）,多云,27,15,无持续风向转无持续风向,<3级
