城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-05-26,多云,25,17,北风转南风,<3级,27日（明天）,多云,27,18,南风转北风,<3级,28日（后天）,晴,29,16,西北风转北风,<3级,29日（周五）,晴,31,18,西南风转西南风,<3级
上海,2026-05-26,小雨转多云,30,24,西南风转西北风,<3级,27日（明天）,多云,28,23,西北风转西北风,<3级,28日（后天）,多云,30,22,西北风转北风,<3级,29日（周五）,多云,30,20,北风转东北风,<3级
广州,2026-05-26,多云,35,27,无持续风向转无持续风向,<3级,27日（明天）,多云,35,27,无持续风向转无持续风向,<3级,28日（后天）,多云,35,27,无持续风向转无持续风向,<3级,29日（周五）,雷阵雨转中雨,34,25,无持续风向转无持续风向,<3级
深圳,2026-05-26,多云,32,27,西南风转无持续风向,3-4级转<3级,27日（明天）,多云,32,27,无持续风向转无持续风向,<3级,28日（后天）,多云,31,27,无持续风向转无持续风向,<3级,29日（周五）,多云转雷阵雨,32,26,无持续风向转无持续风向,<3级
成都,2026-05-26,晴转阴,32,22,无持续风向转无持续风向,<3级,27日（明天）,阴转小雨,29,19,无持续风向转无持续风向,<3级,28日（后天）,多云转阴,26,20,无持续风向转无持续风向,<3级,29日（周五）,多云,29,18,无持续风向转无持续风向,<3级
杭州,2026-05-26,中雨转小雨,31,23,西风转西北风,<3级,27日（明天）,阴转多云,30,23,北风转北风,<3级,28日（后天）,小雨转多云,31,24,北风转北风,<3级,29日（周五）,小雨转晴,30,20,东北风转东北风,<3级
武汉,2026-05-26,小雨转阴,26,21,北风转东北风,<3级,27日（明天）,阴转多云,26,22,北风转北风,<3级,28日（后天）,多云,29,23,北风转北风,<3级,29日（周五）,阴转晴,26,21,北风转北风,<3级
南京,2026-05-26,阴,28,23,西北风转西北风,4-5级转<3级,27日（明天）,阴,27,22,西北风转西北风,<3级,28日（后天）,多云,30,22,西北风转北风,<3级,29日（周五）,多云转晴,28,17,东北风转东风,<3级
重庆,2026-05-26,阴转小雨,32,25,西南风转南风,<3级,27日（明天）,小雨,32,23,西北风转西北风,<3级,28日（后天）,小雨转阴,25,21,西风转西南风,<3级,29日（周五）,多云,27,21,西风转西北风,<3级
西安,2026-05-26,小雨,27,21,无持续风向转无持续风向,<3级,27日（明天）,小雨转阴,23,18,无持续风向转无持续风向,<3级,28日（后天）,阴,24,17,无持续风向转无持续风向,<3级,29日（周五）,阴转多云,24,16,无持续风向转无持续风向,<3级
