城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-08-27,小雨,20,,东北风,<3级,28日（明天）,小雨转晴,23℃,19,西北风转西南风,<3级,29日（后天）,晴,31℃,19,西风转北风,<3级,30日（周日）,晴,31℃,18,西北风转东北风,<3级
上海,2026-08-27,小雨,28,,东风,5-6级,28日（明天）,小雨转多云,32℃,28,东风转东南风,5-6级转<3级,29日（后天）,小雨转多云,32℃,28,东南风转东南风,<3级,30日（周日）,阴,33℃,27,东南风转东南风,<3级
广州,2026-08-27,雷阵雨,25,,无持续风向,<3级,28日（明天）,雷阵雨转多云,33℃,26,无持续风向转无持续风向,<3级,29日（后天）,雷阵雨,34℃,26,无持续风向转无持续风向,<3级,30日（周日）,雷阵雨,32℃,25,无持续风向转无持续风向,<3级
深圳,2026-08-27,雷阵雨,26,,无持续风向,<3级,28日（明天）,雷阵雨转阴,32℃,26,无持续风向转无持续风向,<3级,29日（后天）,多云,33℃,26,无持续风向转无持续风向,<3级,30日（周日）,中雨转雷阵雨,32℃,25,无持续风向转无持续风向,<3级
成都,2026-08-27,阵雨,25,,无持续风向,<3级,28日（明天）,大雨转中雨,32℃,23,无持续风向转无持续风向,<3级,29日（后天）,阵雨转阴,27℃,20,无持续风向转无持续风向,<3级,30日（周日）,多云,28℃,20,无持续风向转无持续风向,<3级
杭州,2026-08-27,小雨,27,,东北风,<3级,28日（明天）,中雨转多云,32℃,26,东风转东风,<3级,29日（后天）,小雨转晴,34℃,25,东南风转东南风,<3级,30日（周日）,小雨转晴,34℃,26,东风转东风,<3级
武汉,2026-08-27,晴,26,,东北风,<3级,28日（明天）,晴,37℃,27,东北风转北风,3-4级,29日（后天）,阵雨,34℃,27,东北风转东北风,4-5级转<3级,30日（周日）,阵雨,34℃,24,北风转北风,3-4级
南京,2026-08-27,阴,25,,东北风,3-4级,28日（明天）,多云,34℃,26,东北风转东风,3-4级,29日（后天）,晴转小雨,34℃,27,东风转东北风,3-4级转<3级,30日（周日）,小雨转大雨,33℃,22,东北风转东北风,<3级
重庆,2026-08-27,小雨,28,,东南风,<3级,28日（明天）,小雨转中雨,34℃,26,西南风转东南风,<3级,29日（后天）,小雨,31℃,24,西北风转西南风,<3级,30日（周日）,小雨,30℃,24,南风转西南风,<3级
西安,2026-08-27,小雨,25,,无持续风向,<3级,28日（明天）,小雨,30℃,22,无持续风向转无持续风向,<3级,29日（后天）,阴,31℃,22,无持续风向转无持续风向,<3级,30日（周日）,阴转晴,31℃,19,无持续风向转无持续风向,<3级
