城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-06-16,中雨转雷阵雨,27,20,北风转东北风,<3级,17日（明天）,晴转多云,31,22,北风转东南风,<3级,18日（后天）,多云转雷阵雨,31,23,南风转东北风,<3级,19日（周五）,雷阵雨转小雨,30,18,西北风转北风,<3级
上海,2026-06-16,阴,26,22,东北风转西南风,<3级,17日（明天）,阴,30,23,东北风转东北风,<3级,18日（后天）,阴转中雨,31,23,东北风转东南风,<3级,19日（周五）,大雨,26,23,南风转西风,<3级
广州,2026-06-16,中雨,30,24,无持续风向转无持续风向,<3级,17日（明天）,大雨,28,24,无持续风向转无持续风向,<3级,18日（后天）,中雨转雷阵雨,30,25,无持续风向转无持续风向,<3级,19日（周五）,雷阵雨,31,26,无持续风向转无持续风向,<3级
深圳,2026-06-16,大雨转中雨,28,25,无持续风向转无持续风向,<3级,17日（明天）,大雨转中雨,28,25,无持续风向转无持续风向,<3级,18日（后天）,中雨,30,26,无持续风向转无持续风向,<3级,19日（周五）,雷阵雨转多云,30,27,无持续风向转无持续风向,<3级
成都,2026-06-16,阴转阵雨,26,21,无持续风向转无持续风向,<3级,17日（明天）,阵雨,25,19,无持续风向转无持续风向,<3级,18日（后天）,多云转晴,27,20,无持续风向转无持续风向,<3级,19日（周五）,多云,31,21,无持续风向转无持续风向,<3级
杭州,2026-06-16,多云转小雨,30,23,东北风转东北风,<3级,17日（明天）,小雨转多云,32,24,西风转西风,<3级,18日（后天）,中雨,33,24,西北风转南风,<3级,19日（周五）,中雨,27,23,南风转西南风,<3级
武汉,2026-06-16,多云,30,22,东南风转东风,<3级,17日（明天）,多云,33,25,东风转东风,<3级,18日（后天）,中雨转大雨,32,25,东南风转南风,<3级,19日（周五）,中雨,26,24,西南风转西南风,<3级
南京,2026-06-16,小雨转阴,29,21,东风转东风,<3级,17日（明天）,阴,31,23,东北风转东风,<3级,18日（后天）,小雨,31,24,东风转东南风,<3级,19日（周五）,大雨转小雨,25,22,南风转西北风,<3级
重庆,2026-06-16,多云转阴,32,25,东北风转东北风,<3级,17日（明天）,小雨转大雨,29,24,东北风转东北风,<3级,18日（后天）,小雨转阴,29,23,西风转西南风,<3级,19日（周五）,多云,32,25,北风转西南风,<3级
西安,2026-06-16,小雨转多云,37,25,无持续风向转无持续风向,<3级,17日（明天）,小雨,34,22,无持续风向转无持续风向,<3级,18日（后天）,小雨,33,20,无持续风向转无持续风向,<3级,19日（周五）,晴转多云,33,20,无持续风向转无持续风向,<3级
