城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-07-07,雷阵雨转阴,31,22,东风转东风,<3级,8日（明天）,雷阵雨,33,22,西南风转东风,<3级,9日（后天）,阴转雷阵雨,32,23,东风转东风,<3级,10日（周五）,多云转雷阵雨,32,25,南风转南风,<3级
上海,2026-07-07,阴转小雨,35,28,东南风转南风,<3级,8日（明天）,阴转小雨,35,26,西南风转东南风,<3级,9日（后天）,阴转小雨,33,25,东南风转东南风,<3级,10日（周五）,阴转多云,32,26,东南风转东风,<3级
广州,2026-07-07,大雨转中雨,30,24,无持续风向转无持续风向,<3级,8日（明天）,中雨,31,25,无持续风向转无持续风向,<3级,9日（后天）,多云,31,26,无持续风向转无持续风向,<3级,10日（周五）,多云,36,27,无持续风向转无持续风向,<3级
深圳,2026-07-07,中雨转大雨,29,25,无持续风向转无持续风向,<3级,8日（明天）,雷阵雨转中雨,31,25,无持续风向转无持续风向,<3级,9日（后天）,多云,30,26,无持续风向转无持续风向,<3级,10日（周五）,多云,33,27,无持续风向转无持续风向,<3级
成都,2026-07-07,多云转晴,37,25,无持续风向转无持续风向,<3级,8日（明天）,雷阵雨转多云,38,26,无持续风向转无持续风向,<3级,9日（后天）,雷阵雨转阵雨,35,25,无持续风向转无持续风向,<3级,10日（周五）,小雨,33,24,无持续风向转无持续风向,<3级
杭州,2026-07-07,多云,36,27,西南风转西南风,<3级,8日（明天）,多云,35,27,东北风转南风,<3级,9日（后天）,多云转晴,37,27,东风转东南风,<3级,10日（周五）,多云转小雨,35,27,东风转东风,<3级
武汉,2026-07-07,小雨转多云,32,25,西南风转南风,3-4级转<3级,8日（明天）,阴转多云,33,26,南风转东南风,<3级,9日（后天）,小雨转多云,35,27,南风转东南风,<3级,10日（周五）,阴转晴,36,28,东南风转东风,<3级
南京,2026-07-07,小雨,32,24,南风转西南风,3-4级,8日（明天）,小雨转中雨,32,25,西南风转南风,<3级转3-4级,9日（后天）,小雨转阴,33,25,东南风转东南风,<3级,10日（周五）,晴转阴,33,25,东南风转东风,3-4级转4-5级
重庆,2026-07-07,多云,37,28,东风转南风,<3级,8日（明天）,多云转晴,36,28,东南风转东南风,<3级,9日（后天）,晴,38,29,南风转东风,<3级,10日（周五）,多云,37,29,东南风转东风,<3级
西安,2026-07-07,晴,37,25,无持续风向转无持续风向,<3级,8日（明天）,晴转阴,39,27,无持续风向转无持续风向,<3级,9日（后天）,小雨转多云,39,27,无持续风向转无持续风向,<3级,10日（周五）,阴,36,26,东南风转东南风,3-4级
