城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-05-25,小雨转阴,21,16,东北风转北风,<3级,26日（明天）,多云,25,17,东南风转西风,<3级,27日（后天）,多云,26,16,西南风转西北风,<3级,28日（周四）,晴,30,17,西北风转北风,<3级
上海,2026-05-25,中雨,30,23,西南风转西南风,<3级,26日（明天）,中雨转小雨,29,23,西南风转西北风,<3级,27日（后天）,多云,28,23,西北风转西北风,<3级,28日（周四）,小雨转阴,30,21,东南风转东北风,<3级
广州,2026-05-25,多云,34,27,南风转无持续风向,3-4级转<3级,26日（明天）,多云,35,27,无持续风向转无持续风向,<3级,27日（后天）,多云,35,27,无持续风向转无持续风向,<3级,28日（周四）,多云转雷阵雨,35,26,无持续风向转无持续风向,<3级
深圳,2026-05-25,多云,32,27,西南风转无持续风向,3-4级转<3级,26日（明天）,多云,32,27,南风转无持续风向,3-4级转<3级,27日（后天）,多云,33,27,无持续风向转无持续风向,<3级,28日（周四）,多云转雷阵雨,33,27,无持续风向转无持续风向,<3级
成都,2026-05-25,多云转阴,31,23,无持续风向转无持续风向,<3级,26日（明天）,小雨,32,22,无持续风向转无持续风向,<3级,27日（后天）,多云转小雨,28,20,无持续风向转无持续风向,<3级,28日（周四）,多云转阴,29,17,无持续风向转无持续风向,<3级
杭州,2026-05-25,中雨,31,25,东南风转南风,<3级,26日（明天）,中雨,29,24,西风转西北风,<3级,27日（后天）,小雨转多云,30,24,北风转西北风,<3级,28日（周四）,小雨,30,24,北风转东北风,<3级
武汉,2026-05-25,暴雨转大雨,32,24,西南风转东南风,3-4级转<3级,26日（明天）,小雨,25,22,北风转北风,<3级,27日（后天）,小雨,26,22,北风转北风,<3级,28日（周四）,多云,29,23,北风转北风,<3级
南京,2026-05-25,中雨转大雨,29,24,南风转东南风,<3级转3-4级,26日（明天）,小雨转阴,29,23,西南风转西北风,3-4级转<3级,27日（后天）,阴转多云,28,23,西北风转西北风,3-4级转<3级,28日（周四）,阴转晴,30,23,西北风转北风,<3级
重庆,2026-05-25,小雨,32,25,西风转西南风,<3级,26日（明天）,多云,32,25,西南风转北风,<3级,27日（后天）,小雨转阴,31,21,西北风转西南风,<3级,28日（周四）,小雨转阴,26,21,西南风转西北风,<3级
西安,2026-05-25,多云转小雨,28,21,无持续风向转无持续风向,<3级,26日（明天）,小雨,24,19,无持续风向转无持续风向,<3级,27日（后天）,阴,25,18,无持续风向转无持续风向,<3级,28日（周四）,阴转多云,25,17,无持续风向转无持续风向,<3级
