城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-06-30,雷阵雨,27,21,东风转东北风,<3级,1日（明天）,多云,30,22,南风转南风,<3级,2日（后天）,雷阵雨转多云,33,24,南风转南风,<3级,3日（周五）,雷阵雨转阴,34,22,南风转南风,<3级
上海,2026-06-30,大雨转中雨,27,22,南风转北风,<3级,1日（明天）,中雨转阴,26,22,东北风转东南风,<3级,2日（后天）,小雨,27,24,东南风转东南风,<3级,3日（周五）,小雨,28,25,南风转南风,<3级
广州,2026-06-30,中雨转多云,33,26,无持续风向转无持续风向,<3级,1日（明天）,多云,34,26,无持续风向转无持续风向,<3级,2日（后天）,多云,34,26,无持续风向转无持续风向,<3级,3日（周五）,雷阵雨,34,27,无持续风向转无持续风向,<3级
深圳,2026-06-30,雷阵雨转多云,31,26,无持续风向转无持续风向,<3级,1日（明天）,多云,33,27,无持续风向转无持续风向,<3级,2日（后天）,多云转雷阵雨,32,27,无持续风向转无持续风向,<3级,3日（周五）,雷阵雨转中雨,31,26,东风转无持续风向,3-4级转<3级
成都,2026-06-30,阴,29,22,无持续风向转无持续风向,<3级,1日（明天）,阴转阵雨,32,22,无持续风向转无持续风向,<3级,2日（后天）,雷阵雨转晴,33,22,无持续风向转无持续风向,<3级,3日（周五）,多云,32,22,无持续风向转无持续风向,<3级
杭州,2026-06-30,中雨,27,23,西北风转东北风,<3级,1日（明天）,大雨转小雨,24,22,南风转东北风,<3级,2日（后天）,中雨转多云,27,23,东南风转南风,<3级,3日（周五）,多云,33,26,南风转西南风,<3级
武汉,2026-06-30,小雨,30,23,西风转西风,<3级,1日（明天）,小雨转阴,31,24,南风转南风,<3级,2日（后天）,中雨,28,23,南风转西南风,<3级,3日（周五）,中雨转小雨,27,24,西南风转西风,<3级
南京,2026-06-30,小雨,28,23,东风转东南风,<3级,1日（明天）,小雨转多云,28,22,南风转南风,<3级,2日（后天）,小雨转中雨,30,24,南风转南风,<3级,3日（周五）,中雨转大雨,26,23,西南风转西南风,3-4级
重庆,2026-06-30,小雨转阴,26,22,东北风转东北风,<3级,1日（明天）,小雨,28,23,西南风转东风,<3级,2日（后天）,小雨,26,22,西北风转南风,<3级,3日（周五）,阴,27,22,东风转南风,<3级
西安,2026-06-30,阴,34,23,无持续风向转无持续风向,<3级,1日（明天）,多云转晴,34,23,无持续风向转无持续风向,<3级,2日（后天）,阴转多云,35,25,无持续风向转无持续风向,<3级,3日（周五）,晴,35,22,无持续风向转无持续风向,<3级
