城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-06-22,雷阵雨,31,20,南风转南风,<3级,23日（明天）,雷阵雨转多云,30,20,东南风转东南风,<3级,24日（后天）,雷阵雨转多云,32,21,东南风转东风,<3级,25日（周四）,多云,33,21,北风转南风,<3级
上海,2026-06-22,小雨,25,22,东风转东北风,<3级转3-4级,23日（明天）,小雨,24,21,东北风转北风,3-4级转<3级,24日（后天）,阴,25,22,东北风转东北风,<3级,25日（周四）,阴,27,22,北风转东北风,<3级
广州,2026-06-22,多云,35,27,无持续风向转无持续风向,<3级,23日（明天）,多云,35,27,无持续风向转无持续风向,<3级,24日（后天）,多云,35,27,无持续风向转无持续风向,<3级,25日（周四）,小雨转雷阵雨,34,26,无持续风向转无持续风向,<3级
深圳,2026-06-22,多云,33,27,无持续风向转无持续风向,<3级,23日（明天）,多云,33,27,无持续风向转无持续风向,<3级,24日（后天）,多云,33,27,无持续风向转无持续风向,<3级,25日（周四）,小雨转多云,33,27,无持续风向转无持续风向,<3级
成都,2026-06-22,多云转阴,29,22,无持续风向转无持续风向,<3级,23日（明天）,多云转阴,27,21,无持续风向转无持续风向,<3级,24日（后天）,阵雨转阴,26,21,无持续风向转无持续风向,<3级,25日（周四）,小雨,22,19,无持续风向转无持续风向,<3级
杭州,2026-06-22,中雨转小雨,33,22,西北风转东北风,<3级,23日（明天）,大雨转中雨,25,20,东北风转北风,<3级,24日（后天）,小雨,26,20,东北风转东北风,<3级,25日（周四）,小雨转晴,29,22,东北风转西北风,<3级
武汉,2026-06-22,小雨,24,22,北风转北风,<3级,23日（明天）,小雨转阴,24,22,东北风转东北风,<3级,24日（后天）,小雨,29,23,东北风转东北风,<3级,25日（周四）,阴转多云,29,23,东北风转北风,<3级
南京,2026-06-22,大雨转小雨,25,20,东北风转东北风,4-5级转3-4级,23日（明天）,小雨转阴,25,20,东北风转东北风,3-4级转<3级,24日（后天）,阴转多云,26,19,东北风转东风,<3级,25日（周四）,阴,28,20,东北风转东风,<3级
重庆,2026-06-22,小雨转阴,28,22,西南风转南风,<3级,23日（明天）,小雨,30,24,北风转北风,<3级,24日（后天）,中雨转小雨,29,24,东南风转东风,<3级,25日（周四）,小雨转中雨,31,22,南风转西北风,<3级
西安,2026-06-22,阴,25,20,无持续风向转无持续风向,<3级,23日（明天）,阴,29,21,无持续风向转无持续风向,<3级,24日（后天）,晴,31,21,无持续风向转无持续风向,<3级,25日（周四）,小雨转多云,28,19,无持续风向转无持续风向,<3级
