城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-09-17,多云,29,20,南风转东风,<3级,18日（明天）,小雨转多云,28,19,东南风转东南风,<3级,19日（后天）,多云,27,19,南风转北风,<3级,20日（周日）,晴,29,16,东北风转北风,<3级
上海,2026-09-17,阴,28,23,东风转东北风,<3级,18日（明天）,多云,29,24,北风转东北风,<3级,19日（后天）,阴转多云,29,24,东北风转北风,<3级,20日（周日）,多云,31,23,东北风转北风,<3级
广州,2026-09-17,晴转多云,33,24,无持续风向转无持续风向,<3级,18日（明天）,晴,34,25,无持续风向转无持续风向,<3级,19日（后天）,多云,34,26,无持续风向转无持续风向,<3级,20日（周日）,多云,35,25,无持续风向转无持续风向,<3级
深圳,2026-09-17,多云,32,25,无持续风向转无持续风向,<3级,18日（明天）,多云转晴,33,25,无持续风向转无持续风向,<3级,19日（后天）,多云转晴,33,25,无持续风向转无持续风向,<3级,20日（周日）,多云转雷阵雨,32,25,无持续风向转无持续风向,<3级
成都,2026-09-17,阵雨转多云,26,19,无持续风向转无持续风向,<3级,18日（明天）,多云,26,19,无持续风向转无持续风向,<3级,19日（后天）,阵雨转阴,25,20,无持续风向转无持续风向,<3级,20日（周日）,多云转小雨,25,20,无持续风向转无持续风向,<3级
杭州,2026-09-17,多云,31,23,东风转东北风,<3级,18日（明天）,多云,31,23,东北风转北风,<3级,19日（后天）,小雨,31,23,东北风转北风,<3级,20日（周日）,晴,30,22,北风转北风,<3级
武汉,2026-09-17,中雨转阵雨,21,18,北风转北风,<3级,18日（明天）,阴转多云,25,20,北风转北风,<3级,19日（后天）,阴,29,22,西北风转西北风,<3级,20日（周日）,阴转多云,30,24,东北风转东风,<3级
南京,2026-09-17,阴,27,22,东风转东风,<3级,18日（明天）,多云转阴,29,21,东北风转东北风,<3级,19日（后天）,多云,30,21,东北风转东风,<3级,20日（周日）,晴,29,20,东北风转东北风,<3级
重庆,2026-09-17,小雨转中雨,24,20,西北风转北风,<3级,18日（明天）,小雨转中雨,25,21,北风转北风,<3级,19日（后天）,小雨,27,22,东风转西北风,<3级,20日（周日）,小雨转大雨,30,24,西北风转北风,<3级
西安,2026-09-17,多云,27,18,无持续风向转无持续风向,<3级,18日（明天）,小雨转阴,21,19,无持续风向转无持续风向,<3级,19日（后天）,小雨,23,19,无持续风向转无持续风向,<3级,20日（周日）,小雨,23,19,无持续风向转无持续风向,<3级
