城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-09-06,多云转阴,30,20,南风转南风,<3级,7日（明天）,小雨,28,17,东北风转北风,<3级,8日（后天）,小雨转多云,23,14,北风转北风,<3级,9日（周三）,多云转晴,25,12,西南风转北风,<3级
上海,2026-09-06,多云转晴,31,24,北风转西北风,<3级,7日（明天）,阴转多云,30,23,北风转西北风,<3级,8日（后天）,多云,30,24,北风转北风,<3级,9日（周三）,多云,29,23,北风转北风,<3级
广州,2026-09-06,中雨转多云,31,25,无持续风向转无持续风向,<3级,7日（明天）,小雨转晴,33,24,无持续风向转无持续风向,<3级,8日（后天）,晴,34,24,无持续风向转无持续风向,<3级,9日（周三）,多云转雷阵雨,32,24,无持续风向转无持续风向,<3级
深圳,2026-09-06,小雨,29,24,无持续风向转无持续风向,<3级,7日（明天）,小雨转多云,32,26,无持续风向转无持续风向,<3级,8日（后天）,晴,34,26,无持续风向转无持续风向,<3级,9日（周三）,多云转雷阵雨,31,24,无持续风向转无持续风向,<3级
成都,2026-09-06,晴转多云,34,24,无持续风向转无持续风向,<3级,7日（明天）,多云转阵雨,33,23,无持续风向转无持续风向,<3级,8日（后天）,阵雨,30,22,无持续风向转无持续风向,<3级,9日（周三）,中雨,25,19,无持续风向转无持续风向,<3级
杭州,2026-09-06,多云转晴,30,23,北风转北风,<3级,7日（明天）,晴,30,22,北风转西北风,<3级,8日（后天）,晴,28,22,北风转北风,<3级,9日（周三）,小雨转晴,28,21,北风转北风,<3级
武汉,2026-09-06,晴,32,20,东北风转东北风,<3级,7日（明天）,晴,32,21,东南风转东风,<3级,8日（后天）,多云转晴,33,21,东北风转东北风,<3级,9日（周三）,多云转晴,32,19,东北风转东北风,3-4级
南京,2026-09-06,晴,28,21,北风转北风,<3级,7日（明天）,晴,29,20,东北风转东北风,<3级,8日（后天）,多云转晴,28,21,东北风转北风,3-4级,9日（周三）,晴转多云,27,19,东北风转北风,3-4级转<3级
重庆,2026-09-06,晴,37,28,东南风转东南风,<3级,7日（明天）,晴,38,29,东南风转东南风,<3级,8日（后天）,晴,38,30,东南风转东南风,<3级,9日（周三）,多云转晴,37,28,东南风转东南风,<3级
西安,2026-09-06,晴转多云,31,24,无持续风向转无持续风向,<3级,7日（明天）,阴,30,23,无持续风向转无持续风向,<3级,8日（后天）,小雨,26,16,无持续风向转无持续风向,<3级,9日（周三）,中雨,20,16,无持续风向转无持续风向,<3级
