城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-06-12,雷阵雨,30,20,西南风转北风,<3级转3-4级,13日（明天）,雷阵雨,25,20,东风转东北风,<3级,14日（后天）,多云,29,20,东风转东北风,<3级,15日（周一）,多云,29,20,东北风转东风,<3级
上海,2026-06-12,阴,34,24,南风转南风,<3级转3-4级,13日（明天）,小雨,28,22,南风转东南风,<3级,14日（后天）,阴转多云,26,22,东风转东风,<3级,15日（周一）,小雨转阴,29,22,东风转东风,<3级
广州,2026-06-12,雷阵雨,32,25,无持续风向转无持续风向,<3级,13日（明天）,中雨,32,25,无持续风向转无持续风向,<3级,14日（后天）,大雨,29,24,无持续风向转无持续风向,<3级,15日（周一）,中雨转大雨,26,24,无持续风向转无持续风向,<3级
深圳,2026-06-12,雷阵雨转中雨,31,25,无持续风向转无持续风向,<3级,13日（明天）,中雨转大雨,31,26,无持续风向转无持续风向,<3级,14日（后天）,大雨,29,25,无持续风向转无持续风向,<3级,15日（周一）,大雨,28,25,无持续风向转无持续风向,<3级
成都,2026-06-12,阴,28,19,无持续风向转无持续风向,<3级,13日（明天）,多云,31,20,无持续风向转无持续风向,<3级,14日（后天）,多云转阴,32,21,无持续风向转无持续风向,<3级,15日（周一）,阴,31,21,无持续风向转无持续风向,<3级
杭州,2026-06-12,多云,33,23,南风转南风,<3级,13日（明天）,小雨,28,21,东南风转东风,<3级,14日（后天）,小雨,28,22,东北风转东风,<3级,15日（周一）,小雨转多云,30,22,东风转东南风,<3级
武汉,2026-06-12,阵雨,28,21,西南风转东南风,<3级,13日（明天）,多云,29,21,南风转东南风,<3级,14日（后天）,晴,32,23,南风转东南风,<3级,15日（周一）,阴转多云,33,24,东风转东风,<3级
南京,2026-06-12,多云转阴,35,25,西南风转南风,3-4级转<3级,13日（明天）,阴,33,23,南风转东风,3-4级,14日（后天）,小雨转多云,30,22,东风转东风,3-4级,15日（周一）,阴,33,23,东风转东风,3-4级
重庆,2026-06-12,多云转小雨,26,20,东北风转西风,<3级,13日（明天）,多云,28,21,西风转东北风,<3级,14日（后天）,多云,33,22,东风转东风,<3级,15日（周一）,多云,34,24,东南风转东南风,<3级
西安,2026-06-12,多云,34,21,无持续风向转无持续风向,<3级,13日（明天）,晴转多云,38,22,无持续风向转无持续风向,<3级,14日（后天）,多云转阴,38,22,无持续风向转无持续风向,<3级,15日（周一）,阴,37,27,无持续风向转无持续风向,<3级
