城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-06-06,小雨转多云,19,12,北风转西南风,<3级,7日（明天）,多云转晴,26,12,西南风转西南风,<3级,8日（后天）,多云,29,15,西南风转北风,<3级,9日（周二）,多云转晴,28,16,西风转东北风,<3级
上海,2026-06-06,阴,28,19,东南风转北风,<3级,7日（明天）,阴,29,21,北风转东北风,<3级,8日（后天）,阴转多云,27,21,东北风转东北风,<3级,9日（周二）,阴,28,20,东风转东北风,<3级
广州,2026-06-06,中雨,32,26,无持续风向转无持续风向,<3级,7日（明天）,中雨转大雨,32,26,无持续风向转无持续风向,<3级,8日（后天）,中雨转大雨,30,24,无持续风向转无持续风向,<3级,9日（周二）,中雨转雷阵雨,27,23,无持续风向转无持续风向,<3级
深圳,2026-06-06,中雨转雷阵雨,32,27,无持续风向转无持续风向,<3级,7日（明天）,中雨转大雨,31,27,无持续风向转无持续风向,<3级,8日（后天）,中雨转大雨,28,26,无持续风向转无持续风向,<3级,9日（周二）,中雨转大雨,28,24,无持续风向转无持续风向,<3级
成都,2026-06-06,多云转阵雨,35,20,无持续风向转无持续风向,<3级,7日（明天）,阵雨,24,17,无持续风向转无持续风向,<3级,8日（后天）,阴,24,17,无持续风向转无持续风向,<3级,9日（周二）,多云,24,16,无持续风向转无持续风向,<3级
杭州,2026-06-06,小雨转晴,28,21,东风转北风,<3级,7日（明天）,多云,31,20,东风转东北风,<3级,8日（后天）,多云转小雨,27,20,东风转东北风,<3级,9日（周二）,多云,26,19,东风转西南风,<3级
武汉,2026-06-06,阴转多云,33,23,东南风转北风,<3级转3-4级,7日（明天）,阴转小雨,24,18,北风转北风,3-4级,8日（后天）,小雨转阴,23,17,北风转北风,3-4级转<3级,9日（周二）,多云,29,17,南风转西风,<3级
南京,2026-06-06,多云,32,19,东南风转东北风,4-5级转3-4级,7日（明天）,阴,31,21,东北风转东北风,3-4级,8日（后天）,多云,27,20,东北风转东风,<3级,9日（周二）,阴转多云,26,18,东风转南风,<3级
重庆,2026-06-06,多云转中雨,34,24,东风转北风,<3级,7日（明天）,大雨转中雨,27,19,西北风转西风,<3级,8日（后天）,小雨转多云,20,19,南风转西风,<3级,9日（周二）,多云,24,20,西南风转南风,<3级
西安,2026-06-06,中雨转小雨,27,17,无持续风向转无持续风向,<3级,7日（明天）,小雨转阴,22,15,无持续风向转无持续风向,<3级,8日（后天）,阴,28,17,无持续风向转无持续风向,<3级,9日（周二）,多云转阴,31,19,无持续风向转无持续风向,<3级
