城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-06-14,多云,29,21,东南风转东南风,<3级,15日（明天）,多云,31,21,南风转东南风,<3级,16日（后天）,雷阵雨,28,20,东风转东风,<3级,17日（周三）,多云,31,22,东风转东北风,<3级
上海,2026-06-14,小雨转阴,25,21,东风转东北风,3-4级转<3级,15日（明天）,小雨转阴,26,22,东风转东风,3-4级转<3级,16日（后天）,多云转小雨,27,23,东风转东风,3-4级转<3级,17日（周三）,小雨转阴,29,23,东北风转东风,<3级
广州,2026-06-14,大雨转中雨,30,24,无持续风向转无持续风向,<3级,15日（明天）,大雨,28,24,无持续风向转无持续风向,<3级,16日（后天）,中雨,31,24,无持续风向转无持续风向,<3级,17日（周三）,大雨转中雨,28,24,无持续风向转无持续风向,<3级
深圳,2026-06-14,大雨,29,24,西南风转西南风,3-4级,15日（明天）,大暴雨,27,24,无持续风向转无持续风向,<3级,16日（后天）,大雨转中雨,30,24,无持续风向转无持续风向,<3级,17日（周三）,中雨转雷阵雨,29,25,无持续风向转无持续风向,<3级
成都,2026-06-14,多云转阴,32,22,无持续风向转无持续风向,<3级,15日（明天）,多云转阴,32,23,无持续风向转无持续风向,<3级,16日（后天）,阴,30,24,无持续风向转无持续风向,<3级,17日（周三）,小雨,27,20,无持续风向转无持续风向,<3级
杭州,2026-06-14,多云转阴,28,22,东北风转东北风,<3级,15日（明天）,多云,28,22,东北风转东北风,<3级,16日（后天）,阴,29,22,东风转东风,<3级,17日（周三）,小雨,31,23,东风转西南风,<3级
武汉,2026-06-14,多云,29,21,东风转东风,<3级,15日（明天）,多云转晴,32,22,东风转东风,<3级,16日（后天）,多云,32,23,东北风转东风,<3级,17日（周三）,多云,33,25,东风转东南风,<3级
南京,2026-06-14,阴,29,21,东北风转东风,3-4级,15日（明天）,阴,29,22,东风转东风,3-4级,16日（后天）,小雨转阴,30,22,东风转东风,3-4级,17日（周三）,多云转阴,32,24,东风转东风,3-4级转<3级
重庆,2026-06-14,多云,31,21,东北风转西南风,<3级,15日（明天）,多云转晴,31,24,西南风转东北风,<3级,16日（后天）,多云转阴,33,24,东南风转东风,<3级,17日（周三）,阴转小雨,34,24,东北风转北风,<3级
西安,2026-06-14,多云转阴,38,26,无持续风向转无持续风向,<3级,15日（明天）,多云,37,24,无持续风向转无持续风向,<3级,16日（后天）,晴转多云,38,22,无持续风向转无持续风向,<3级,17日（周三）,小雨,36,22,无持续风向转无持续风向,<3级
