城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-09-02,晴,29,18,南风转西南风,<3级,3日（明天）,晴,31,19,南风转西南风,<3级,4日（后天）,晴转多云,32,19,南风转西南风,<3级,5日（周六）,多云转晴,31,21,东南风转东风,<3级
上海,2026-09-02,小雨,29,25,东北风转东北风,<3级,3日（明天）,小雨转多云,30,25,东北风转北风,<3级,4日（后天）,多云,30,25,北风转北风,<3级,5日（周六）,多云,29,25,北风转北风,<3级
广州,2026-09-02,多云,30,24,北风转无持续风向,3-4级转<3级,3日（明天）,多云转雷阵雨,29,22,无持续风向转无持续风向,<3级,4日（后天）,中雨转雷阵雨,26,23,无持续风向转无持续风向,<3级,5日（周六）,多云,32,25,无持续风向转无持续风向,<3级
深圳,2026-09-02,多云,29,24,无持续风向转无持续风向,<3级,3日（明天）,多云转雷阵雨,30,24,无持续风向转无持续风向,<3级,4日（后天）,多云,27,23,无持续风向转无持续风向,<3级,5日（周六）,多云,30,25,无持续风向转无持续风向,<3级
成都,2026-09-02,晴,34,21,无持续风向转无持续风向,<3级,3日（明天）,晴,33,21,无持续风向转无持续风向,<3级,4日（后天）,晴,33,22,无持续风向转无持续风向,<3级,5日（周六）,多云,32,23,无持续风向转无持续风向,<3级
杭州,2026-09-02,中雨转小雨,28,24,东北风转东北风,<3级,3日（明天）,小雨,30,23,东北风转北风,<3级,4日（后天）,小雨,30,24,北风转北风,<3级,5日（周六）,小雨,30,23,北风转北风,<3级
武汉,2026-09-02,阴转小雨,29,21,东北风转北风,3-4级转<3级,3日（明天）,小雨转多云,26,22,北风转东北风,3-4级转<3级,4日（后天）,晴,31,19,东北风转东北风,<3级,5日（周六）,晴,30,20,东北风转北风,<3级
南京,2026-09-02,阴,28,24,东北风转东北风,4-5级,3日（明天）,多云,28,21,东北风转北风,4-5级转3-4级,4日（后天）,多云,28,21,北风转北风,3-4级转<3级,5日（周六）,多云转晴,28,20,北风转北风,<3级
重庆,2026-09-02,晴,35,24,东北风转西风,<3级,3日（明天）,晴,35,25,东风转南风,<3级,4日（后天）,晴,35,25,东北风转西风,<3级,5日（周六）,晴,36,27,南风转东南风,<3级
西安,2026-09-02,晴,34,20,无持续风向转无持续风向,<3级,3日（明天）,晴转多云,33,20,无持续风向转无持续风向,<3级,4日（后天）,多云,33,21,无持续风向转无持续风向,<3级,5日（周六）,晴,34,23,无持续风向转无持续风向,<3级
