城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-08-29,多云转晴,28,18,西南风转西风,<3级,30日（明天）,晴,31,19,南风转北风,<3级,31日（后天）,晴转多云,28,18,东北风转东北风,<3级,1日（周二）,多云转晴,28,19,南风转北风,<3级
上海,2026-08-29,小雨,32,28,东南风转东南风,<3级,30日（明天）,小雨转阴,32,28,东南风转东南风,<3级,31日（后天）,小雨,32,26,南风转东南风,<3级,1日（周二）,中雨转小雨,29,25,东北风转东风,<3级
广州,2026-08-29,中雨转雷阵雨,34,25,无持续风向转无持续风向,<3级,30日（明天）,大雨转雷阵雨,30,24,无持续风向转无持续风向,<3级,31日（后天）,大雨转雷阵雨,31,24,无持续风向转无持续风向,<3级,1日（周二）,中雨转多云,29,23,无持续风向转无持续风向,<3级
深圳,2026-08-29,雷阵雨,32,26,无持续风向转无持续风向,<3级,30日（明天）,大雨转雷阵雨,29,25,无持续风向转无持续风向,<3级,31日（后天）,中雨转雷阵雨,30,25,无持续风向转无持续风向,<3级,1日（周二）,中雨转雷阵雨,30,25,无持续风向转无持续风向,<3级
成都,2026-08-29,多云,29,21,无持续风向转无持续风向,<3级,30日（明天）,多云转晴,33,20,无持续风向转无持续风向,<3级,31日（后天）,晴,34,21,无持续风向转无持续风向,<3级,1日（周二）,晴,32,20,无持续风向转无持续风向,<3级
杭州,2026-08-29,小雨,34,27,东风转东南风,<3级,30日（明天）,中雨转小雨,34,26,西北风转东风,<3级,31日（后天）,小雨转多云,34,25,北风转东北风,<3级,1日（周二）,大雨转中雨,28,23,东风转东北风,<3级
武汉,2026-08-29,阵雨转阴,31,24,北风转北风,3-4级,30日（明天）,阵雨,32,24,北风转北风,3-4级,31日（后天）,阵雨转阴,32,24,东北风转北风,3-4级,1日（周二）,阴,29,23,东北风转北风,3-4级
南京,2026-08-29,小雨转多云,34,25,东风转东风,3-4级,30日（明天）,中雨转大雨,31,24,东北风转东北风,3-4级转<3级,31日（后天）,大雨,27,22,北风转东北风,4-5级,1日（周二）,小雨转大雨,29,22,东北风转东北风,3-4级转4-5级
重庆,2026-08-29,中雨转小雨,29,24,西北风转西风,<3级,30日（明天）,阴转多云,30,24,西风转南风,<3级,31日（后天）,多云,33,24,南风转南风,<3级,1日（周二）,晴,33,23,东北风转东风,<3级
西安,2026-08-29,阴,29,22,无持续风向转无持续风向,<3级,30日（明天）,晴,32,19,无持续风向转无持续风向,<3级,31日（后天）,晴,33,18,无持续风向转无持续风向,<3级,1日（周二）,晴,34,21,无持续风向转无持续风向,<3级
