城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-09-09,晴,25,13,西南风转西南风,<3级,10日（明天）,晴,28,14,南风转西南风,<3级,11日（后天）,晴,29,14,西南风转西南风,<3级,12日（周六）,晴,28,14,南风转北风,<3级
上海,2026-09-09,阴转多云,29,22,北风转北风,<3级,10日（明天）,小雨,29,24,北风转东北风,<3级,11日（后天）,多云,30,24,东北风转东北风,<3级,12日（周六）,多云转晴,30,23,东北风转东北风,<3级
广州,2026-09-09,雷阵雨,34,24,无持续风向转无持续风向,<3级,10日（明天）,晴转多云,32,24,无持续风向转无持续风向,<3级,11日（后天）,晴转多云,32,24,无持续风向转无持续风向,<3级,12日（周六）,多云转雷阵雨,32,24,无持续风向转无持续风向,<3级
深圳,2026-09-09,雷阵雨,32,24,无持续风向转无持续风向,<3级,10日（明天）,雷阵雨,31,24,无持续风向转无持续风向,<3级,11日（后天）,多云,32,24,无持续风向转无持续风向,<3级,12日（周六）,多云转雷阵雨,31,24,无持续风向转无持续风向,<3级
成都,2026-09-09,阵雨,25,18,无持续风向转无持续风向,<3级,10日（明天）,多云,22,16,无持续风向转无持续风向,<3级,11日（后天）,多云转阴,23,17,无持续风向转无持续风向,<3级,12日（周六）,阴转小雨,22,17,无持续风向转无持续风向,<3级
杭州,2026-09-09,多云,28,21,北风转西北风,<3级,10日（明天）,多云,27,21,西北风转西北风,<3级,11日（后天）,小雨转多云,29,22,东风转北风,<3级,12日（周六）,多云,30,22,东北风转北风,<3级
武汉,2026-09-09,阴转多云,26,19,东北风转东北风,3-4级,10日（明天）,多云转晴,27,17,北风转北风,3-4级转<3级,11日（后天）,多云转晴,29,18,东北风转东北风,<3级,12日（周六）,阴转多云,30,21,北风转北风,<3级
南京,2026-09-09,多云,27,19,北风转北风,3-4级,10日（明天）,阴转多云,25,22,北风转北风,3-4级,11日（后天）,小雨转晴,26,21,东北风转东北风,3-4级转<3级,12日（周六）,晴转阴,28,21,东风转东风,<3级
重庆,2026-09-09,晴转小雨,37,26,东南风转西南风,<3级,10日（明天）,小雨,26,23,西风转西南风,<3级,11日（后天）,多云,28,22,西南风转西风,<3级,12日（周六）,多云,32,23,西北风转北风,<3级
西安,2026-09-09,中雨转小雨,17,15,无持续风向转无持续风向,<3级,10日（明天）,小雨转阴,22,16,无持续风向转无持续风向,<3级,11日（后天）,阴转多云,26,16,无持续风向转无持续风向,<3级,12日（周六）,多云转阴,29,19,无持续风向转无持续风向,<3级
