城市,爬取日期,今日天气,今日最高温(℃),今日最低温(℃),今日风向,今日风力,第1日日期,第1日天气,第1日最高温(℃),第1日最低温(℃),第1日风向,第1日风力,第2日日期,第2日天气,第2日最高温(℃),第2日最低温(℃),第2日风向,第2日风力,第3日日期,第3日天气,第3日最高温(℃),第3日最低温(℃),第3日风向,第3日风力
北京,2026-05-28,晴,28,16,北风转西南风,<3级,29日（明天）,晴,32,18,西南风转西南风,<3级,30日（后天）,晴转多云,33,20,西南风转西南风,<3级,31日（周日）,多云,33,18,西南风转西南风,<3级
上海,2026-05-28,阴,29,22,北风转东北风,<3级,29日（明天）,多云,29,20,东北风转北风,3-4级转<3级,30日（后天）,多云,29,20,东风转东南风,<3级,31日（周日）,晴转阴,31,20,东南风转东南风,3-4级转<3级
广州,2026-05-28,多云,36,27,无持续风向转无持续风向,<3级,29日（明天）,雷阵雨,35,26,无持续风向转无持续风向,<3级,30日（后天）,雷阵雨,33,25,无持续风向转无持续风向,<3级,31日（周日）,小雨转多云,32,25,无持续风向转无持续风向,<3级
深圳,2026-05-28,多云转晴,34,27,无持续风向转无持续风向,<3级,29日（明天）,多云转雷阵雨,34,25,无持续风向转无持续风向,<3级,30日（后天）,雷阵雨,32,25,无持续风向转无持续风向,<3级,31日（周日）,小雨转多云,31,25,无持续风向转无持续风向,<3级
成都,2026-05-28,多云转阴,28,19,无持续风向转无持续风向,<3级,29日（明天）,多云,28,18,无持续风向转无持续风向,<3级,30日（后天）,多云,31,20,无持续风向转无持续风向,<3级,31日（周日）,多云转阴,29,20,无持续风向转无持续风向,<3级
杭州,2026-05-28,多云,30,23,东北风转西北风,<3级,29日（明天）,小雨转晴,29,20,东风转东北风,<3级,30日（后天）,晴,29,19,东风转南风,<3级,31日（周日）,晴,32,19,东风转东南风,<3级
武汉,2026-05-28,阴,29,23,东北风转北风,<3级,29日（明天）,阴转多云,27,21,北风转北风,<3级,30日（后天）,晴,30,19,北风转北风,<3级,31日（周日）,晴,31,21,南风转东风,<3级
南京,2026-05-28,多云,29,22,西北风转东北风,<3级转3-4级,29日（明天）,多云转晴,28,17,东北风转东风,3-4级转<3级,30日（后天）,晴,28,17,东风转东南风,<3级转3-4级,31日（周日）,晴转多云,29,18,东南风转东风,3-4级
重庆,2026-05-28,小雨,25,22,西风转西风,<3级,29日（明天）,小雨转阴,27,22,西北风转西北风,<3级,30日（后天）,多云,29,22,西风转北风,<3级,31日（周日）,多云转中雨,32,23,北风转西北风,<3级
西安,2026-05-28,阴,23,18,无持续风向转无持续风向,<3级,29日（明天）,小雨转晴,24,14,无持续风向转无持续风向,<3级,30日（后天）,阴转多云,26,16,无持续风向转无持续风向,<3级,31日（周日）,阴转晴,26,17,无持续风向转无持续风向,<3级
