rank,title,rating,rating_count,release_info,summary,url
1,奥德赛,8.5,267491人评价,2026-07-16(中国香港) / 2026-07-17(美国) / 2026-08-14(中国大陆) / 马特·达蒙 / 汤姆·霍兰德 / 安妮·海瑟薇 / 罗伯特·帕丁森 / 查理兹·塞隆 / 赞达亚 / 萨曼莎·莫顿 / 约翰·雷吉扎莫 / 露皮塔·尼永奥 / 艾利奥特·佩吉 / 美国 / 加拿大 / 冰岛...,改编自同名荷马史诗，讲述奥德修斯（马特·达蒙 饰）的故事，以及他在特洛伊战争后10年的回家之旅。,https://movie.douban.com/subject/36808876/
2,大唐妖探,,,2026-08-22(中国大陆) / 雷淞然 / 张呈 / 蔡海婷 / 张喆 / 王凯 / 范哲琛 / 中国大陆 / 程腾 / 黄珉 / 2026-08-02 / 117分钟 / 喜剧 / 动画 / 悬疑 / 奇幻 / 张淳 Chun Zhang / 程腾 Teng Cheng / 汉语普通话,齿轮机关交织的大唐长安城，奇幻绚丽，飞檐翘角之下，人和妖比邻而居。梦想成为“长安第一神探”的天才少年狄少，破案功力一流，毒舌属性更甚；初出茅庐的狼妖捕快阿萨，武力不凡却心地纯良。一桩离奇命案，让这对冤家被迫组队，一路笑闹互怼，开启探案奇旅。当线索直指城市核心，这对不靠谱的搭档，能否守住这座奇幻之城的欢乐日常？而热闹繁华的长安背后，又藏着怎样的惊天秘密？,https://movie.douban.com/subject/35464353/
3,最后孤屋,5.4,6415人评价,2026-08-07(美国网络) / 格蕾塔·李 / 瓦格纳·马拉 / 莱莉·钟 / 诺亚·亚历山大·索斯诺夫斯基 / 艾玛·霍 / 加百列·钟 / 赵雅顿 / 奥黛丽·安德森 / 西德·爱德华兹 / 埃芙琳·雷诺兹-柏森 / 英国 / 法国 / 美国 / 路易斯·莱特里尔 / 112分钟...,一个普通的一家四口突遭诡异变故，被困在自家房屋中超过 1000 天无法出门。在资源消耗殆尽与未知神秘威胁的双重逼迫下，一家人必须想方设法联手求生，打破这间禁锢生命的困局。,https://movie.douban.com/subject/36877284/
4,鬼玩人6：炼狱,6.6,11066人评价,2026-07-08(中国台湾) / 2026-07-10(美国) / 索海拉·雅各布 / 亨特·杜汉 / 卢西安·布坎南 / 坦蒂·莱特 / 埃罗尔·尚德 / 乔治·普拉尔 / 维克托里·恩杜克韦 / 莫德·戴维 / 基努·卡里姆 / 塔皮瓦·索罗帕 / 新西兰 / 美国 / 塞巴斯蒂安·瓦尼契克...,爱丽丝在丈夫骤然离世后深陷悲痛，受邀前往公婆的乡间庄园暂住，试图和丈夫的家人互相慰藉，一同走出丧亲的阴霾。可入住没多久，诡异状况便接连爆发，庄园里怪事频发，身边的亲人举止日渐反常。很快，恶灵诅咒席卷整座宅邸，身边的人一个接一个被侵蚀异化，变成面目焦黑、嗜血狂暴的死徒。她逐渐发现，当年婚礼上许下的婚姻誓言并未随丈夫的死亡消散，反而成了缠绕整个家族的恶灵契约。被困在庄园里的她，必须在亲人彻底沦陷前，在遍地死徒的绝境里拼杀求生。,https://movie.douban.com/subject/36767846/
5,消失的人,7.2,140952人评价,2026-05-01(中国大陆) / 郑恺 / 刘浩存 / 邱泽 / 李晨 / 姜妍 / 黄小蕾 / 李梦 / 张琪 / 毕雯珺 / 冯兵 / 中国大陆 / 程伟豪 / 140分钟 / 犯罪 / 悬疑 / 惊悚 / 程伟豪 Wei-hao Cheng / 汉语普通话,一个寻常的清晨，唐宇（郑恺 饰）的儿子在楼梯间凭空消失；隔壁单元里，独居女孩林雨彤（刘浩存 饰）在熟睡中被人侵犯；赌鬼租客严午（邱泽 饰）满身血污，谎编踪迹藏匿尸体。这栋看似平静、不起眼的居民楼里，每个擦肩而过的“熟人”，都有可能是藏着獠牙的恶鬼。当人心比鬼更可怕时，你每天出入的家门，都可能是通往地狱的入口……本片改编自豆瓣阅读连载小说《海葵》，作者贝客邦。,https://movie.douban.com/subject/36965301/
6,群体,6.1,33202人评价,2026-05-15(戛纳电影节) / 2026-05-21(韩国) / 全智贤 / 具教焕 / 池昌旭 / 申铉彬 / 金新绿 / 高洙 / 李仲玉 / 李玄均 / 金炯默 / 黄在烈 / 韩国 / 延尚昊 / 122分钟 / 群体 / 动作 / 科幻 / 悬疑 / 惊悚 / 延尚昊 Sang-ho Yeon / 韩语,影片讲述了因不明感染事件而被封锁的建筑内，孤立无援的幸存者们对抗以无法预测形态进化的感染者的故事。,https://movie.douban.com/subject/37096700/
7,利未记,7.0,9563人评价,2026-01-23(圣丹斯电影节) / 2026-06-19(美国) / 史泰西·克劳森 / 乔·伯德 / 提亚拉·布洛克 / 伊文·莱斯利 / 米娅·华希科沃斯卡 / 杰瑞米·布莱维特 / 黛维达·麦肯齐 / 朱莉娅·格蕾丝 / Hyu Motoki / 埃德温娜·雷恩 / 澳大利亚 / 阿德里安·奇亚雷拉...,父亲过世后，纳伊姆（乔·伯德 饰）与母亲（米娅·华希科沃斯卡 饰）搬到一座保守的宗教小镇，试图展开全新生活。在这里，他结识了俊美少年莱恩（史泰西·克劳森 饰），一段无法见容于世的恋情悄然萌芽。然而，当纳伊姆意外撞见莱恩与牧师之子亨特（杰瑞米·布莱维特 饰）难以启齿的秘密后，他因为心生嫉妒而揭发真相。亨特的父母随即请来驱魔师，企图透过驱逐同性欲望的仪式来“矫正”两人。没想到，这场仪式非但没有带来救赎，反而诱发出诡异的超自然力量。这股力量，会化身成受害者内心最渴望的人，利用最亲密的记忆，以及最深层的欲望逐步近逼，将爱化作最致命的恐惧。随着离奇事件接连发生，亨特惨遭杀害，莱恩也逐渐被这股神秘力量侵蚀。为了拯救挚爱，纳伊姆试图向警方求助，却没人相信他的说词，两人的禁忌恋情更因此曝光。当眼前的人可能是最深爱的人，也可能是最可怕的魔魇，纳伊姆必须在爱与恐惧之间，做出最后的抉择。,https://movie.douban.com/subject/37559942/
8,寒战1994,7.0,140088人评价,2026-05-01(中国大陆) / 吴彦祖 / 刘俊谦 / 吴慷仁 / 谢君豪 / 王丹妮 / 廖子妤 / 艾丹·吉伦 / 休·博纳维尔 / 周润发 / 郭富城 / 中国香港 / 中国大陆 / 梁乐民 / 117分钟 / 寒战1994 / 剧情 / 动作 / 犯罪 / 梁乐民 Lok Man Leung / 张飞帆 / 何亮瑜...,2017年，李文彬（梁家辉 饰）突然失踪，与此同时，蔡元祺在英国惨遭暗杀。为此，刘杰辉（郭富城 饰）向简奥伟（周润发 饰）寻求协助，开启了一份1994年的神秘档案。1994年，香港回归前夕，政治部即将解散。一宗富商绑架案，让热血正义的李文彬（刘俊谦 饰）与冷血野心家蔡元祺（吴彦祖 饰），在警界掀起一场暗潮涌动的权力较量。英方、警队、富商、黑道四方势力卷入其中互相博弈，香港迎来了新一轮权力洗牌，并为2017年的寒战风波埋下了伏笔。,https://movie.douban.com/subject/36857924/
9,寻找艾米丽,7.6,8202人评价,2026-05-22(英国) / 2026-08-28(美国) / 安格瑞·赖斯 / 斯派克·费恩 / 朱莉娅·罗杰斯 / 托比·罗斯韦尔 / 明妮·德里弗 / 艾拉·梅西·珀维斯 / 艾莉·亨利 / 娜迪亚·帕克斯 / 雅莉·托珀尔·玛格丽斯 / 克拉拉·李欧 / 英国 / 艾丽西娅·麦克唐纳...,"影片故事背景设定在曼彻斯特大学，精准捕捉了女权活动、短视频热点等当代年轻人的日常碎片。痴心歌手（斯派克·费恩 饰）鼓起勇气想打给暗恋对象艾米丽，却拿错了号码——阴差阳错联系上焦头烂额的心理学系学生（安格瑞·赖斯 饰）。两人一拍即合组队，在校园与伦敦街头展开""""寻人行动""""，却没 料到这一路乌龙频出、搅动整所大学的风波，也逼着他们直面自己真正在找的是那个人——还是某种不敢承认的期待。",https://movie.douban.com/subject/36912404/
10,揭秘日,6.4,58923人评价,2026-06-10(中国香港) / 2026-06-12(美国/中国大陆) / 艾米莉·布朗特 / 乔什·奥康纳 / 科林·费尔斯 / 伊芙·休森 / 科尔曼·多明戈 / 怀亚特·罗素 / 亨利·劳埃德-休斯 / 伊丽莎白·马弗尔 / 海缇安·朴 / 汤米·马丁内兹 / 美国 / 加拿大 / 新西兰...,当人类仰望深空，是否有一个“它”也正在对望？一场关于外星文明的全球“揭秘”，即将颠覆人类认知。而这背后隐藏的真相，为何有人想要将它永远封存？,https://movie.douban.com/subject/36860212/
