rank,title,rating,rating_count,release_info,summary,url
1,求救信号,7.1,11231人评价,2026-09-04(美国网络) / 瑞安·雷诺兹 / 肯尼思·布拉纳 / 马辛·多洛辛斯基 / 玛丽亚·巴卡洛娃 / 大卫·摩斯 / 克拉克·约翰森 / 温迪·古逊 / 路易斯·坎瑟米 / 约什·汉密尔顿 / 小亚历克斯·马里亚里 / 美国 / 约翰·弗朗西斯·戴利 / 乔纳森·戈尔茨坦...,在冷战高峰期，自视甚高的美国海军飞行员Troy 'Assassin' Kelly上尉飞到苏联去执行秘密任务，然而任务崩了，他一个人被困在敌后方，被性情暴躁、喜好美国文化的前克格勃特工Nikolai Ustinov发现。Troy以为自己完了，但是他们之间出人意料的结盟，是否会让Troy获救，以及发展出一段双方都没想到的情谊？,https://movie.douban.com/subject/36439868/
2,希望,5.6,3696人评价,2026-05-17(戛纳电影节) / 2026-07-15(韩国) / 黄政民 / 赵寅成 / 郑好娟 / 迈克尔·法斯宾德 / 艾丽西亚·维坎德 / 泰勒·拉塞尔 / 卡梅隆·布莱顿 / 张宥 / 音文硕 / 林玄植 / 韩国 / 罗泓轸 / 156分钟 / 160分钟(戛纳电影节版) / 希望 / 剧情 / 动作...,故事发生在20世纪70至80年代，宁静的沿海村庄“霍普港”。警察局长范锡（黄政民 饰）与警员成爱（郑好娟 饰）被派往调查离奇的动物虐杀案，却发现作案者是某种体型庞大的未知生物。同时，暴躁的猎人成基（赵寅成 饰）带队进山试图猎杀猛兽，反沦为猎物 。随着怪物真容浮现，恐惧在村民间蔓延，这场生存杀戮逐渐演变为揭露人性排外心理的残酷试炼。导演罗泓轸计划将《希望》拍摄三部曲。,https://movie.douban.com/subject/36179101/
3,罗斯,8.6,12217人评价,2026-02-15(柏林电影节) / 2026-04-17(奥地利) / 2026-04-30(德国) / 桑德拉·惠勒 / 卡洛·布劳恩 / 玛丽莎·格罗瓦尔德 / 戈德哈尔德·吉瑟 / 奥古斯丁诺·伦肯 / 罗伯特·格维斯戴克 / 玛丽亚·德拉格斯 / 斯文·埃里克·贝希托夫 / 赖纳·埃格 /...,故事取材于欧洲历史上多起女扮男装的真实事件。十七世纪早期，三十年战争结束后，一个女人伪装成一名叫“罗斯”的士兵出现在一个偏僻的新教村庄，声称自己是一座荒废庄园的继承者，努力获得村民的接纳。,https://movie.douban.com/subject/35322132/
4,抓特务,7.4,142473人评价,2026-06-19(中国大陆) / 雷佳音 / 胡歌 / 啜妮 / 张瑶 / 林晓凡 / 杨舒伊 / 刘佩琦 / 姜武 / 杨青 / 陈国星 / 中国大陆 / 冯小刚 / 141分钟 / 剧情 / 史建全 Jianquan Shi / 汉语普通话,一场警察与特务的较量，却展开满是烟火与温情的百姓人生。新中国成立之初，派出所所长肖大力（雷佳音 饰）凭直觉锁定潜伏在土唐刀胡同15号院的特务“5182”冯静波（胡歌 饰）。为追查真相，肖大力索性搬进院落，昔日追查者与目标成了朝夕相处的邻居。两人的交集，牵动着两个家庭、两代人的命运，岁月起落间满是波折与变故。当阅尽半生风雨，这对相伴相斗一辈子的冤家，早已不再是单纯的宿敌。影片根据张策的小说《无悔追踪》改编。,https://movie.douban.com/subject/36812879/
5,激情邀约,7.3,15772人评价,2026-01-24(圣丹斯电影节) / 2026-06-26(美国) / 塞斯·罗根 / 奥利维亚·王尔德 / 佩内洛普·克鲁兹 / 爱德华·诺顿 / 雷切尔·图洛夫 / 马里奥·瓦尔迪兹 / 美国 / 奥利维亚·王尔德 / 107分钟 / 激情邀约 / 剧情 / 喜剧 / 爱情 / 西斯科·盖伊 Cesc...,改编自2020年西班牙电影《多愁善感》。一对结婚多年的夫妇婚姻出了问题，一天碰巧邀请楼上性观念开放的邻居来家做客，这一夜充满意想不到的转折，逐渐揭示他们内心深处压抑的情感和未曾探索过的性取向。,https://movie.douban.com/subject/35801126/
6,盒子里的羊,5.7,2969人评价,2026-05-16(戛纳电影节) / 2026-05-29(日本) / 绫濑遥 / 大悟 / 桑木里梦 / 清野菜名 / 宽一郎 / 柊木阳太 / 角田晃广 / 野吕佳代 / 星野真里 / 中岛步 / 日本 / 是枝裕和 / 126分钟 / 盒子里的羊 / 剧情 / 科幻 / 是枝裕和 Hirokazu Kore-eda / 日语,在近未来的日本社会中，中小型建筑公司总裁（大悟 饰）与同为建筑师的妻子（绫濑遥 饰）在痛失爱子后，竟不惜代价借助AI复活技术重建家庭，家中迎来了外貌与声音跟儿子一模一样的人形仿生机器人，更一起重启生活日常，但一个意外事故牵引著每一位家庭成员直面心底隐藏的情感，走向他们意想不到的疗愈之旅。影片片名灵感来源于《小王子》。,https://movie.douban.com/subject/37227467/
7,夜王,7.8,126724人评价,2026-02-17(中国香港) / 2026-02-20(中国大陆) / 黄子华 / 郑秀文 / 王丹妮 / 廖子妤 / 杨伟伦 / 谢君豪 / 卢镇业 / 何启华 / 杨偲泳 / 谭旻萱 / 中国大陆 / 中国香港 / 吴炜伦 / 133分钟 / 162分钟(导演剪辑版) / 剧情 / 喜剧 / 吴炜伦 Wai Lun Ng / 何妙祺...,尖东“夜场传奇”欢哥（黄子华 饰）万万没想到，中年最大危机是被收购，空降新上司竟是自己的霸道前妻V姐（郑秀文 饰）。前妻变上司，夜场秒变修罗场，欢哥和团队成员为保饭碗，花招频出，却发现背后是更大的资本收割棋局。夜场灭灯在即，昔日冤家从“互怼”变“盟友”，与东日仝人使出浑身离谱解数，誓与资本硬杠到底！一场爆笑逆袭之战，即将开打......,https://movie.douban.com/subject/37375594/
8,死亡禁区实录,,,2026-09-25(中国大陆) / 邓家佳 / 苏小玎 / 海陆 / 孙芮 / 刘迅 / 叶常清 / 王星 / 刘佳玺 / 李茂 / 中国大陆 / 王晟赫 / 2026-09-11 / 96分钟 / 悬疑 / 惊悚 / 恐怖 / 王晟赫 Shenghe Wang / 汉语普通话,废弃诈骗园区化身血色炼狱，为了千万直播赏金，为了至亲的救命医药费，为了失踪在园区的家人，一支各怀隐情的搜救队冒死进入404死亡禁区。水牢、血牛库、电刑，黑暗中无差别残酷虐杀接连失控。全球直播的镜头下，等待他们的究竟是人是“诡”？,https://movie.douban.com/subject/37380650/
9,大濛,8.2,31405人评价,2025-11-06(台北金马影展) / 2025-11-27(中国台湾) / 方郁婷 / 柯炜林 / 汤毓绮 / 曾敬骅 / 陈以文 / 蔡昌宪 / 陈竹升 / 詹馥瑄 / 胡智强 / 陈俊成 / 中国台湾 / 陈玉勋 / 134分钟 / 剧情 / 陈玉勋 Yu-Hsun Chen / 汉语普通话 / 闽南语 / 粤语,1954年，一个15岁女孩，听闻哥哥在台北被枪毙的消息，独自搭火车从嘉义到台北，不顾一切后果，只为带哥哥回家。她懵懂无知初到台北，意外下被来自广东、思乡而归不得的三轮车夫所救。两个没有血缘关系的人，因为缘分变成患难之交，展开一段为筹措赎尸费，而赌上性命的旅程。,https://movie.douban.com/subject/36680492/
10,不成功穿越指南,6.5,5613人评价,2025-11-12(厦门金鸡影展) / 2026-07-02(中国大陆) / 杨皓宇 / 詹鑫 / 刘琳 / 石老板 / 六兽 / 刘旸 / 土豆 / 松天硕 / 马旭东 / 张小婉 / 中国大陆 / 冯一平 / 郝心悦 / 115分钟 / 剧情 / 喜剧 / 奇幻 / 冯一平 Yiping Feng / 郝心悦 Xinyue Hao / 汉语普通话...,三十岁的陈涛（詹鑫 饰）失业回家打算躺平，却意外闯入了去世多年的父亲（杨皓宇 饰）留给他的一本地摊儿文学作品中，本想薅住命运稻草的他，在荒诞不经的章节里跌跌撞撞，与那个他从未真正认识的父亲反复重逢……,https://movie.douban.com/subject/36823889/
