rank,title,rating,rating_count,release_info,summary,url
1,爱情抓马,6.9,31534人评价,2026-04-01(法国) / 2026-04-02(中国台湾) / 2026-04-03(美国) / 赞达亚 / 罗伯特·帕丁森 / 阿拉娜·哈伊姆 / 马莫多·阿西 / 海利·盖茨 / 西德妮·莱蒙 / 汉娜·格罗斯 / 安娜·巴瑞辛尼科夫 / 乔丁·库雷特 / 迈克尔·阿伯特 / 美国 / 克里斯托弗·博格利...,婚礼前几天，一对情侣无意中发现彼此的秘密，亲密关系面临考验，令结婚计划骤然生变。暗黑秘密如何一发不可收拾？各种反应又引致怎样翻天覆地的后果？原定又浪漫又幸福的结婚计划，还可以进行吗？,https://movie.douban.com/subject/36995126/
2,世界的主人,9.1,110645人评价,2025-09-07(多伦多电影节) / 2025-10-22(韩国) / 徐粹彬 / 张慧珍 / 金郑植 / 姜彩允 / 李宰锡 / 朴知玧 / 金艺昶 / 高旻示 / 白贤珠 / 卞重熙 / 韩国 / 尹佳恩 / 119分钟 / 世界的主人 / 剧情 / 尹佳恩 Ga-eun Yoon / 韩语,开朗的17岁少女珠仁（徐粹彬 饰）因拒绝参与抵制性侵罪犯出狱的校园联名请愿，揭开童年遭亲属侵害的往事。在舆论非议中，她拒绝被“受害者”标签定义，在破碎家庭、校园风波与内心阴影中完成自我和解与生命重建。一部兼具社会深度与人文温度的青春成长佳作。导演尹佳恩跳出悲情控诉和复仇叙事，以克制细腻的日常镜头呈现创伤幸存者最真实的生存状态——不渲染痛苦、不放大罪恶，只凝视这个少女如何带着伤痕继续前行。片名即宣言：伤痛无法抹去，但人生主导权始终掌握在自己手中。本片荣获第62届百想艺术大赏电影部门最佳导演及最佳新人女演员奖。,https://movie.douban.com/subject/37116612/
3,木乃伊,6.2,10417人评价,2026-04-15(比利时) / 2026-04-17(美国) / 杰克·莱诺 / 莱娅·科斯塔 / 梅·卡拉美维 / 娜塔莉·格蕾斯 / 希洛·莫利纳 / 比利·罗伊 / 维罗尼卡·法尔孔 / 哈亚特·卡米勒 / 梅·埃尔格蒂 / 艾米丽·米切尔 / 爱尔兰 / 美国 / 西班牙 / 加拿大 / 李·克罗宁...,一个被埋藏的秘密，正准备被揭开。失踪多年的凯蒂突然回来，但回来的，真的还是原本的她吗？那些看似“好转”的变化，其实，是另一种腐败的开始。,https://movie.douban.com/subject/36929221/
4,蜂蜜的针,6.9,46188人评价,2026-03-28(中国大陆) / 袁泉 / 耿乐 / 宁静 / 俞飞鸿 / 齐溪 / 陈冲 / 孙悦 / 史可 / 余皑磊 / 李大光 / 中国大陆 / 袁梅 / 2026-03-21 16:00 / 119分钟 / 爱情 / 犯罪 / 悬疑 / 李樯 Qiang Li / 汉语普通话,性格孤僻的农科院研究员支宁（袁泉 饰），在爱情里四处碰壁。在一次文学讲座上，她对作家寇逸（耿乐 饰）一见钟情，从此陷入偏执爱情的她开始悄悄跟在寇逸身后……在偶然的契机下，支宁应寇逸之邀加入一场旅行。本以为是靠近心意的“爱情”之旅，却没料到途中变故接踵而至，逐渐成为了一场亡命之行。蹊跷的命案接连发生，所有人和事都在朝着完全失控的方向狂奔……以爱之名的潘多拉魔盒已然开启，当爱意被执念裹挟，人究竟会为了守住所谓的“爱”，突破多少不可逾越的边界？,https://movie.douban.com/subject/26022233/
5,杀的就是你,6.9,20416人评价,2026-02-27(西班牙) / 2026-03-27(美国) / 莎姬·贝兹 / 帕特丽夏·阿奎特 / 米哈拉·赫罗德 / 汤姆·费尔顿 / 佩特逊·约瑟夫 / 海瑟·格拉汉姆 / 阿曼多·里维拉 / 达伦-迈耶 / 克里斯·范·伦斯堡 / 盖布·加布里埃尔 / 美国 / 基里尔·索科洛夫...,一个从事打扫工作的女子为纽约一座摩天大楼中的富人家工作，却被告知这里有一个供奉撒旦的邪教，每个月要杀一个人作为祭品，“今晚，选中了你……”,https://movie.douban.com/subject/36926954/
6,惩罚者：最后一击,6.8,4904人评价,2026-05-12(美国网络) / 乔·博恩瑟 / 杰森·R·摩尔 / 朱迪斯·赖特 / 黛博拉·安·霍尔 / 安德烈·罗约 / 米拉·杰姆斯 / 尼克·库马拉索斯 / 贾马尔·劳埃德·约翰逊 / 多米尼克·曼齐诺 / 约瑟夫·德维托 / 美国 / 雷纳尔多·马库斯·格林 /...,弗兰克（乔·博恩瑟 饰）在寻找复仇之外的人生意义时，被一股意想不到的力量拉回了战斗。,https://movie.douban.com/subject/37259325/
7,蒙特利尔，我的美人,7.6,13311人评价,2025-10-12(蒙特利尔新电影节) / 2026-02-13(加拿大) / 陈冲 / 夏洛特·奥宾 / 埃米莉·科泰 / John Xu / Pei Yao Xu / Anzhe Angelo Zhang / 加拿大 / 和晓丹 / 117分钟 / 蒙特利尔，我的美人 / 剧情 / 同性 / 和晓丹 Xiaodan He / 法语 / 汉语普通话,53岁华裔移民凤霞（陈冲 饰）在加拿大蒙特利尔已经生活了大半辈子，人生被“妻子、母亲、移民”的身份牢牢捆绑：一段早已失去爱意的婚姻、需要照料的家庭、中西文化的夹缝，让她活成了别人期待的样子，也压抑了真实的自我。直到她遇见充满活力的年轻魁北克女孩卡米尔（夏洛特·奥宾 饰），一段意外的亲密关系唤醒了她埋藏多年的欲望与渴望。凤霞被迫直面内心的渴望，在家庭责任与自我解放、传统束缚与自由人生之间，做出艰难却决绝的选择，完成一场迟来的中年觉醒与自我救赎。,https://movie.douban.com/subject/37019075/
8,与王生活的男人,7.4,8986人评价,2026-02-04(韩国) / 柳海真 / 朴志训 / 刘智泰 / 田美都 / 李浚赫 / 朴智焕 / 金旻 / 安宰弘 / 吴达洙 / 金秀珍 / 韩国 / 张抗俊 / 116分钟 / 与王生活的男人 / 剧情 / 历史 / 张抗俊 Hang-jun Jang / 黄成求 Seong-gu Hwang / 韩语,1457年的清泠浦，一场注定失败的守护，一段永被铭记的情谊。年幼的君王李弘𬀩（朴志训 饰）被迫让位，还遭流放。另一方面，江原道宁越的深山村落广川谷的村长严兴道（柳海真 饰）为了生活艰困的村民们，努力将清泠浦变成流放地。然而，就在村长的满心期盼下，终于迎来了被迫退位的李弘𬀩。负责监视李弘𬀩日常生活的村长，竟开始愈来愈在意失去求生意志的李弘𬀩……,https://movie.douban.com/subject/36978169/
9,挽救计划,8.6,457273人评价,2026-03-18(中国台湾) / 2026-03-20(美国/中国大陆) / 瑞恩·高斯林 / 桑德拉·惠勒 / 詹姆斯·奥尔蒂斯 / 莱昂内尔·博伊斯 / 梁振邦 / 米拉娜·薇恩翠 / 普里亚·坎萨 / 利兹·金斯曼 / 马拉基·卡比 / 梅丽尔·斯特里普 / 美国 / 菲尔·罗德 / 克里斯托弗·米勒...,太阳正在被“吃”掉，绝望吞噬地球。一名“平凡”的中学教师格雷斯（瑞恩·高斯林 饰）背负全人类的希望，踏上“太空不归路”。末路孤旅中，他意外遇到一位外星萌友，一个同样身陷绝境的外星工程师，这对“宇宙搭子”成了两个文明最后的救命稻草。他们能否在资源紧缺的情况下攻克重重科学谜 题，寻回唯一的希望火种？影片改编自安迪·威尔的同名畅销科幻小说。,https://movie.douban.com/subject/35010610/
10,长夜将尽,6.7,9167人评价,2025-06-18(上海国际电影节) / 2026-03-21(中国大陆) / 万茜 / 饶晓志 / 屈楚萧 / 黄小蕾 / 赵梓冲 / 孙庆昌 / 国义骞 / 欧剑宇 / 廖拟 / 赵成顺 / 中国大陆 / 王通 / 119分钟 / 剧情 / 爱情 / 犯罪 / 王通 Tong Wang / 姚睿 Rui Yao / 施一凡 Yifan Shi / 汉语普通话...,保姆叶晓霖（万茜 饰）伪装进入老人家庭图谋行凶，因与饲养员马德勇（饶晓志 饰）的相遇打破了原有生活平衡，警察周平（屈楚萧 饰）在追查案件中与他们的命运交织。,https://movie.douban.com/subject/35590993/
