rank,title,rating,rating_count,release_info,summary,url
1,痴迷,7.7,79558人评价,2025-09-05(多伦多电影节) / 2026-05-15(美国) / 2026-07-24(中国大陆) / 迈克尔·约翰斯顿 / 印达·纳瓦雷特 / 库珀·汤姆林森 / 梅根·劳利斯 / 安迪·里克特 / 黑莉·菲茨杰拉德 / 达林·图恩德 / 安东尼·帕沃内 / 贾斯蒂斯 / 安东尼·卡萨比安卡...,平凡却对爱情抱有执念的青年贝尔（迈克尔·约翰斯顿 饰）在偶然得知小镇传说后，折断了一截禁忌的“心愿柳”许愿，如愿俘获暗恋对象妮基（印达·纳瓦雷特 饰）的心。可随着恋情顺遂展开，他逐渐察觉——被召唤来的并非好运，而是一种依附于欲望本身、缓慢蚕食现实的古老存在。想要的爱越圆满，代价越狰狞。影片改编自民间禁忌传说“心愿柳”框架。,https://movie.douban.com/subject/37450627/
2,大濛,8.1,20927人评价,2025-11-06(台北金马影展) / 2025-11-27(中国台湾) / 方郁婷 / 柯炜林 / 汤毓绮 / 曾敬骅 / 陈以文 / 蔡昌宪 / 陈竹升 / 詹馥瑄 / 胡智强 / 陈俊成 / 中国台湾 / 陈玉勋 / 134分钟 / 剧情 / 陈玉勋 Yu-Hsun Chen / 汉语普通话 / 闽南语 / 粤语,1954年，一个15岁女孩，听闻哥哥在台北被枪毙的消息，独自搭火车从嘉义到台北，不顾一切后果，只为带哥哥回家。她懵懂无知初到台北，意外下被来自广东、思乡而归不得的三轮车夫所救。两个没有血缘关系的人，因为缘分变成患难之交，展开一段为筹措赎尸费，而赌上性命的旅程。,https://movie.douban.com/subject/36680492/
3,后室,6.8,81832人评价,2026-05-27(中国台湾) / 2026-05-29(美国) / 2026-06-26(中国大陆) / 切瓦特·埃加福 / 雷娜特·赖因斯夫 / 芬恩·本尼特 / 卢基塔·麦克斯韦尔 / 马克·杜普拉斯 / 阿万·乔贾 / 罗伯特·博布罗茨基 / 安珀·安布罗斯 / 克丽丝塔·科索宁 / 菲利普·格兰杰...,深陷困境的克拉克（切瓦特·埃加福 饰）意外切入名为“后室”的神秘空间，在这里一切物理规则崩塌，只有漫无边际的黄色房间，没有终点也没有出路。心理医生玛丽（雷娜特·赖因斯夫 饰）为寻回克拉克意外踏入此地，在这片异常空间中，随着心理防线的崩塌，未知的恐惧与实体也在一步步向他们靠近……影片脱胎于导演凯恩·帕森斯打造的现象级惊悚短片「后室」。,https://movie.douban.com/subject/36235977/
4,我的妈耶,6.3,41041人评价,2026-02-02(鹿特丹电影节) / 2026-04-03(中国大陆) / 马思纯 / 白客 / 黄明昊 / 孙阳 / 梁靖康 / 嵇嘉禾 / 王天放 / 雷淞然 / 郭虹 / 张子贤 / 中国大陆 / 肖麓西 / 121分钟 / 剧情 / 喜剧 / 家庭 / 吴扶俐 Fuli Wu / 张宇欣 Yuxin Zhang / 肖麓西 Luxi Xiao...,十一（黄明昊 饰）从小由父亲张永勋（白客 饰）独自抚养长大，自出生时就离世的妈妈东玉（马思纯 饰）对于他而言则是陌生人般的存在。处于青春叛逆期的十一，在自己18岁生日这天意外发现了一本「妈妈的日记」。在好奇心的驱使下，十一翻开日记，开启了一段“认识妈妈”的旅程——十一跟随着妈妈的成长经历，邂逅了她人生不同阶段的重要人物——霹雳舞学长（梁靖康 饰）、高中闺蜜彩霞（嵇嘉禾 饰）、发小刘皮孩（王天放 饰）、初恋小哥（孙阳 饰）以及老公张永勋。这些人物串联起东玉一生所经历的友谊、爱情与亲情…… 透过这本「日记」，十一看见了东玉短暂却向阳的一生，也终于感受到了她对自己从始至终不曾缺席的爱……,https://movie.douban.com/subject/36217763/
5,金谍行动,6.1,9174人评价,2026-05-15(美国) / 2026-06-20(中国大陆网络) / 亨利·卡维尔 / 杰克·吉伦哈尔 / 艾莎·冈萨雷斯 / 卡洛斯·巴登 / 迈克尔·武 / 费舍·史蒂芬斯 / 裴淳华 / 穆罕默德·阿勒·图尔基 / 科乔·阿塔 / 杰森·王 / 英国 / 美国 / 盖·里奇 / 98分钟 / 金谍行动...,金融公司遭十亿恶意贷款，首次讨要无果后，讨债公司老板瑞秋挺身而出。她集结布朗克和席德组成一支精英小队，成功夺取硬盘数据，锁定债主曼尼的隐秘资产。随后，小队展开一连串精密操作，曼尼的资产帝国被迫冻结，而曼尼也终于现身谈判同意还钱。但当曼尼付清了债款，金融公司却迟迟未将曼尼的资产归还，气急败坏的曼尼将瑞秋擒获试图进行要挟。精英小队是否能成功将瑞秋救出，而曼尼又将受到怎样的恐怖惩罚呢？,https://movie.douban.com/subject/36396335/
6,幽旅巫咒,6.1,8574人评价,2026-03-14(西南偏南电影节) / 2026-05-01(美国) / 亚当·斯科特 / 大卫·威尔莫特 / 奥斯丁·阿梅里奥 / 弗洛伦丝·奥德什 / 彼得·库南 / 布伦丹·康罗伊 / 迈克尔·帕特里克 / 威尔·奥康纳 / 苏·卡罗尔 / 埃兹拉·卡莱尔 / 爱尔兰 / 美国 / 达米安·麦卡锡...,性格孤僻、不近人情的小说家欧姆·鲍曼（亚当·斯科特 饰）带着父母骨灰，来到偏远阴郁的爱尔兰乡间，重返父母曾经最幸福的地方。他入住父母当年度蜜月的古老旅馆，却被旅馆员工告知，这间旅馆流传着一则禁忌传说，有一位古老女巫，长期徘徊在“蜜月套房”，而那间套房早就被封锁并列为禁区，所有人都被警告绝对不能靠近。起初，欧姆对此不以为意，但当旅馆出现离奇失踪事件，他也逐渐产生诡异幻觉，仿佛那个传说正渗入他的思绪，将他一步步拖入潜伏着超自然能量的噩梦深渊……,https://movie.douban.com/subject/37226826/
7,杀木池,5.3,13229人评价,2026-04-08(韩国) / 金惠奫 / 李钟圆 / 金准韩 / 金永声 / 吴东旻 / 尹在灿 / 张多雅 / 全昭仙 / 崔叡允 / 薛允芝 / 韩国 / 李相玟 / 95分钟 / 杀木池 / 惊悚 / 恐怖 / 韩语,街景地图PD秀仁带领团队，前往传闻诡异的杀木池水库补拍路段画面——此前素材中莫名出现了无法解释的人形。团队必须在当天完成重拍，可踏入水库区域后，怪事接连发生：镜头捕捉到无人的身影，失踪的前辈突然现身，水下传来若有似无的低语。夜幕降临，信号逐渐消失，成员们接连遭遇离奇状况，黑暗的水库深处，似乎有什么东西正循着水声，向他们缓缓靠近。,https://movie.douban.com/subject/37233517/
8,世界的主人,9.0,140716人评价,2025-09-07(多伦多电影节) / 2025-10-22(韩国) / 徐粹彬 / 张慧珍 / 金郑植 / 姜彩允 / 李宰锡 / 朴知玧 / 金艺昶 / 高旻示 / 白贤珠 / 卞重熙 / 韩国 / 尹佳恩 / 119分钟 / 世界的主人 / 剧情 / 尹佳恩 Ga-eun Yoon / 韩语,开朗的17岁少女珠仁（徐粹彬 饰）因拒绝参与抵制性侵罪犯出狱的校园联名请愿，被迫揭开童年往事。在舆论非议中，她拒绝被标签定义，在破碎家庭、校园风波与内心阴影中完成自我和解与生命重建。一部兼具社会深度与人文温度的青春成长佳作。导演尹佳恩跳出悲情控诉和复仇叙事，以克制细腻的日常镜头呈现创伤幸存者最真实的生存状态——不渲染痛苦、不放大罪恶，只凝视这个少女如何带着伤痕继续前行。片名即宣言：伤痛无法抹去，但人生主导权始终掌握在自己手中。本片荣获第62届百想艺术大赏电影部门最佳导演及最佳新人女演员奖。,https://movie.douban.com/subject/37116612/
9,女士优先,6.3,12796人评价,2026-05-22(美国网络) / 萨莎·拜伦·科恩 / 裴淳华 / 汤姆·戴维斯 / 艾米莉·莫迪默 / 韦鲁切·欧皮亚 / 查尔斯·丹斯 / 费奥纳·肖 / 理查德·E·格兰特 / 雷德·滕南特 / 凯瑟琳·亨特 / 美国 / 西娅·夏罗克 / 90分钟 / 女士优先 / 喜剧 / 爱情...,达米安（萨莎·拜伦·科恩饰）似乎拥有一切：金钱、权力，以及源源不断的艳遇。正当他准备晋升为一家顶尖广告公司的首席执行官时，一场噩梦让他的生活彻底颠覆：他醒来发现自己身处一个由女性主宰的平行世界。曾经叱咤风云的他，如今却发现自己处境艰难，不得不与强势无畏的艾莉克斯（裴淳华饰）正面交锋。规则改变，艾莉克斯如日中天，两人展开了一场大胆的较量。这部轻松诙谐、讽刺意味十足的喜剧讲述当性别角色被彻底颠覆时会发生什么。,https://movie.douban.com/subject/37067461/
10,双喜,7.4,12443人评价,2025-10-28(东京电影节) / 2026-02-17(中国台湾) / 刘冠廷 / 余香凝 / 杨贵媚 / 田启文 / 庹宗华 / 汤毓绮 / 蔡凡熙 / 洪群钧 / 晏柔中 / 林史恩 / 中国台湾 / 许承杰 / 129分钟 / 双喜 / 剧情 / 喜剧 / 爱情 / 谢沛如 Pei-Ju Hsieh / 许承杰 Joseph Chen-Chieh...,新郎高庭生（刘冠廷 饰）与新娘吴黛玲（余香凝 饰）在一生一次的大喜之日，面对多年来打死不相往来的男方父亲高盛宏（庹宗华 饰）与母亲白雁心（杨贵媚 饰）争相主持儿子的终生大事，不愿得罪父母的高庭生只好联合岳父老吴（田启文 饰）、婚顾小芮（汤毓绮 饰）、伴郎大蔡（蔡凡熙 饰），试图瞒天过海在一天内完美举办两场婚礼。,https://movie.douban.com/subject/36576765/
