rank,title,rating,rating_count,release_info,summary,url
1,求救信号,7.0,2734人评价,2026-09-04(美国网络) / 瑞安·雷诺兹 / 肯尼思·布拉纳 / 玛丽亚·巴卡洛娃 / 温迪·古逊 / 路易斯·坎瑟米 / 克拉克·约翰森 / 小亚历克斯·马里亚里 / 马辛·多洛辛斯基 / 亚历克斯·奥泽罗夫 / 克里斯蒂安· 杰达 / 美国 / 约翰·弗朗西斯·戴利...,在冷战高峰期，自视甚高的美国海军飞行员Troy 'Assassin' Kelly上尉飞到苏联去执行秘密任务，然而任务崩了，他一个人被困在敌后方，被性情暴躁、喜好美国文化的前克格勃特工Nikolai Ustinov发现。Troy以为自己完了，但是他们之间出人意料的结盟，是否会让Troy获救，以及发展出一段双方都没想到的情谊？,https://movie.douban.com/subject/36439868/
2,夜王,7.8,120786人评价,2026-02-17(中国香港) / 2026-02-20(中国大陆) / 黄子华 / 郑秀文 / 王丹妮 / 廖子妤 / 杨伟伦 / 谢君豪 / 卢镇业 / 何启华 / 杨偲泳 / 谭旻萱 / 中国大陆 / 中国香港 / 吴炜伦 / 133分钟 / 162分钟(导演剪辑版) / 剧情 / 喜剧 / 吴炜伦 Wai Lun Ng / 何妙祺...,尖东“夜场传奇”欢哥（黄子华 饰）万万没想到，中年最大危机是被收购，空降新上司竟是自己的霸道前妻V姐（郑秀文 饰）。前妻变上司，夜场秒变修罗场，欢哥和团队成员为保饭碗，花招频出，却发现背后是更大的资本收割棋局。夜场灭灯在即，昔日冤家从“互怼”变“盟友”，与东日仝人使出浑身离谱解数，誓与资本硬杠到底！一场爆笑逆袭之战，即将开打......,https://movie.douban.com/subject/37375594/
3,激情邀约,7.4,13607人评价,2026-01-24(圣丹斯电影节) / 2026-06-26(美国) / 塞斯·罗根 / 奥利维亚·王尔德 / 佩内洛普·克鲁兹 / 爱德华·诺顿 / 雷切尔·图洛夫 / 马里奥·瓦尔迪兹 / 美国 / 奥利维亚·王尔德 / 107分钟 / 激情邀约 / 剧情 / 喜剧 / 爱情 / 西斯科·盖伊 Cesc...,改编自2020年西班牙电影《多愁善感》。一对结婚多年的夫妇婚姻出了问题，一天碰巧邀请楼上性观念开放的邻居来家做客，这一夜充满意想不到的转折，逐渐揭示他们内心深处压抑的情感和未曾探索过的性取向。,https://movie.douban.com/subject/35801126/
4,耳语者,5.9,1611人评价,2026-08-28(美国网络) / 哈米什·林克莱特 / 米歇尔·莫纳汉 / 罗伯特·德尼罗 / 亚当·斯科特 / 迈克尔·基顿 / 约翰·卡洛·林奇 / 欧文·提格 / 雅各布·伯格 / 威尔·伯瑞 / 玛瑞娜·卡贝洛 / 美国 / 詹姆斯·阿什克罗夫特 / 111分钟 / 耳语者...,影片改编自亚历克斯·诺斯所著畅销小说，聚焦一名丧妻的犯罪小说作家在8岁儿子遭到绑架后，向平时关系疏远的退休警探父亲求助，却发现绑架案竟和几十年前一桩犯人已经定罪的连续杀人案有关，而当时的凶手有“耳语者”之称。,https://movie.douban.com/subject/37228429/
5,牢笼鬼魂,6.7,4365人评价,2026-02-13(柏林电影节) / 2026-04-16(印度尼西亚) / 阿比马纳·阿亚萨亚 / 阿尔曼佐·科诺拉尔马 / 阿明·苏甘迪 / 阿斯文迪·贝宁·斯瓦拉 / 博朗·帕拉雷 / 迪马斯·达南·苏里约内戈罗 / 德瓦·达雅纳 / 恩迪·阿菲安 / 法伊兹·维沙尔 / 法雷尔·拉菲斯基...,拉布安安萨纳是全国恶名昭彰的重刑监狱，帮派厮杀、狱警贪腐早已是日常，囚犯在暴力压迫里苟且求生。年轻记者迪马斯因涉嫌杀害上司入狱，被分到鱼龙混杂的C监区，以安戈罗为首的帮派和敌对势力常年水火不容。自迪马斯入狱后，监区内接连爆发惨绝人寰的诡异命案，死者惨遭肢解扭曲，被布置成充满仪式感的病态艺术装置。无形的恶灵专挑负能量深重的人下手，恐慌在密闭高墙内急速蔓延。原本拼得你死我活的帮派仇敌、贪腐暴虐的狱警管理层，被迫放下所有仇怨结成同盟，在接连不断的血腥屠杀中追查恶灵的根源，在不见天日的牢笼里争夺一线生机。,https://movie.douban.com/subject/36146114/
6,末世行者,,,2026-08-26(法国) / 2026-08-28(美国) / 雅各布·艾洛蒂 / 玛格丽特·库里 / 乔什·布洛林 / 盖·皮尔斯 / 王汉斌 / 塞巴斯蒂安·罗基森-伍德尔 / 阿拉拉-斯塔尔·汗 / 美国 / 雷德利·斯科特 / 118分钟 / 末世行者 / 科幻 / 惊悚 / 冒险 / 马克·L·史密斯...,一场大流感之后，希格认识的所有人都死了，他的妻子、亲人、朋友，还有这个世界上99.9%的人，全都死了。他与他的狗孤独地居住在一座废弃的飞机场的机棚中，唯一的邻居是一个热爱枪支的反人类者。飞机上的无线电收到了一串莫名的电波，表明这个世界中还有其他的幸存者存在。希格在犹豫挣扎之后，最终踏上了寻找友情走出孤独的冒险之旅……,https://movie.douban.com/subject/37107254/
7,逃亡者,5.5,1363人评价,2026-09-02(美国网络) / 盖尔·加朵 / 戴米恩·路易斯 / 皮埃尔·伯格曼 / 黄米莉 / Stevie Binns / Ruby Valentino / 肯顿·劳埃德·摩根 / 蒂利亚纳·布克丽瓦 / Aaron Gill / Caroline Glass / 英国 / 凯文·麦克唐纳 / 85分钟 / 逃亡者 / 动作 / 惊悚 / Mark Gibson...,一位实力雄厚的女律师必须在伦敦四处奔波，一边遵照一位神秘来电者发出的晦涩指令，一边设法救出被绑架的儿子。,https://movie.douban.com/subject/37200003/
8,我看见两朵一样的云,5.6,53357人评价,2026-06-19(中国大陆) / 王源 / 文淇 / 温茉言 / 闫楠 / 张颂文 / 陈创 / 杨九郎 / 赵子琪 / 赵天爱 / 钎城 / 中国大陆 / 严艺之 / 104分钟 / 爱情 / 科幻 / 严艺之 Linq Yim / 汉语普通话,你有没有在这个世界感到过无比的孤独？有没有怀疑身边的一切是不真实的？阿志（王源 饰）在大家眼里是一个奇怪的年轻人，他的业余生活都在寻找“这个世界是虚拟世界”的证据。直到古灵精怪的女生小一（文淇 饰）的出现，让他几乎放弃了寻找真相的念头。透过阿志和小一被快速点燃的爱情，生活显得如此浪漫而真实。可是，小一究竟是虚拟游戏的NPC、还是现实生活的完美爱人，他们能不能在这个世界上永远幸福地生活在一起？……,https://movie.douban.com/subject/35211447/
9,蔷薇修剪术,5.4,3536人评价,2026-02-14(柏林电影节) / 2026-04-23(德国) / 2026-07-10(英国) / 卡勒姆·特纳 / 艾丽·范宁 / 杰米·贝尔 / 丽莉·吉欧 / 卢卡斯·盖奇 / 帕米拉·安德森 / 崔西·莱茨 / 埃伦娜·安纳亚 / 欧格斯·斯特凡纳科斯 / 希拉·克维多 / 德国 / 意大利 / 西班牙...,在加泰罗尼亚阳光下的一座豪华别墅里，美国兄妹杰克、艾德、安娜和罗伯特沉溺于与世隔绝的生活和继承的巨额财富，对失明父亲的要求置之不理，在彼此之间以及他们最新款的名牌服饰中寻求爱与认同。当作为家中支柱的大哥杰克宣布要搬去和女友玛莎同住时，血缘关系就此断裂，艾德被迫揭开母亲死亡的真相。代代相传的谎言开始瓦解，这个家庭的根基也逐渐崩塌。,https://movie.douban.com/subject/36419426/
10,大濛,8.2,29980人评价,2025-11-06(台北金马影展) / 2025-11-27(中国台湾) / 方郁婷 / 柯炜林 / 汤毓绮 / 曾敬骅 / 陈以文 / 蔡昌宪 / 陈竹升 / 詹馥瑄 / 胡智强 / 陈俊成 / 中国台湾 / 陈玉勋 / 134分钟 / 剧情 / 陈玉勋 Yu-Hsun Chen / 汉语普通话 / 闽南语 / 粤语,1954年，一个15岁女孩，听闻哥哥在台北被枪毙的消息，独自搭火车从嘉义到台北，不顾一切后果，只为带哥哥回家。她懵懂无知初到台北，意外下被来自广东、思乡而归不得的三轮车夫所救。两个没有血缘关系的人，因为缘分变成患难之交，展开一段为筹措赎尸费，而赌上性命的旅程。,https://movie.douban.com/subject/36680492/
