rank,title,rating,rating_count,release_info,summary,url
1,年会不能停2！,,,2026-08-01(中国大陆) / 张若昀 / 白客 / 高叶 / 大鹏 / 庄达菲 / 孙艺洲 / 田雨 / 王耀庆 / 李乃文 / 李晨 / 中国大陆 / 董润年 / 2026-07-24 21:00 / 126分钟 / 喜剧 / 董润年 Runnian Dong / 应萝佳 Luojia Ying / 汉语普通话,当“天选之子”刘奔（张若昀 饰）遇上“天降搭子”马杰（白客 饰），这对天选“刘马”联手上阵，究竟能否一路开挂、爆笑逆袭？！而这条笑料铺满的掀桌之路，背后又藏着怎样的秘密……,https://movie.douban.com/subject/36850814/
2,奥德赛,8.2,15619人评价,2026-07-16(中国香港) / 2026-07-17(美国) / 2026-08-14(中国大陆) / 马特·达蒙 / 汤姆·霍兰德 / 安妮·海瑟薇 / 罗伯特·帕丁森 / 查理兹·塞隆 / 赞达亚 / 米娅·高斯 / 露皮塔·尼永奥 / 艾利奥特·佩吉 / 乔·博恩瑟 / 美国 / 英国 / 克里斯托弗·诺兰...,改编自同名荷马史诗，讲述奥德修斯（马特·达蒙 饰）的故事，以及他在特洛伊战争后10年的回家之旅。,https://movie.douban.com/subject/36808876/
3,群体,6.2,22166人评价,2026-05-15(戛纳电影节) / 2026-05-21(韩国) / 全智贤 / 具教焕 / 池昌旭 / 申铉彬 / 金新绿 / 高洙 / 李仲玉 / 李玄均 / 金炯默 / 黄在烈 / 韩国 / 延尚昊 / 122分钟 / 群体 / 动作 / 科幻 / 悬疑 / 惊悚 / 延尚昊 Sang-ho Yeon / 韩语,影片讲述了因不明感染事件而被封锁的建筑内，孤立无援的幸存者们对抗以无法预测形态进化的感染者的故事。,https://movie.douban.com/subject/37096700/
4,寒战1994,7.1,120776人评价,2026-05-01(中国大陆) / 吴彦祖 / 刘俊谦 / 吴慷仁 / 谢君豪 / 王丹妮 / 廖子妤 / 艾丹·吉伦 / 休·博纳维尔 / 周润发 / 郭富城 / 中国香港 / 中国大陆 / 梁乐民 / 117分钟 / 寒战1994 / 剧情 / 动作 / 犯罪 / 梁乐民 Lok Man Leung / 张飞帆 / 何亮瑜...,2017年，李文彬（梁家辉 饰）突然失踪，与此同时，蔡元祺在英国惨遭暗杀。为此，刘杰辉（郭富城 饰）向简奥伟（周润发 饰）寻求协助，开启了一份1994年的神秘档案。1994年，香港回归前夕，政治部即将解散。一宗富商绑架案，让热血正义的李文彬（刘俊谦 饰）与冷血野心家蔡元祺（吴彦祖 饰），在警界掀起一场暗潮涌动的权力较量。英方、警队、富商、黑道四方势力卷入其中互相博弈，香港迎来了新一轮权力洗牌，并为2017年的寒战风波埋下了伏笔。,https://movie.douban.com/subject/36857924/
5,10间敢死队,6.8,34435人评价,2026-04-17(北京国际电影节) / 2026-05-01(中国大陆) / 蒋龙 / 齐溪 / 杨超越 / 王子川 / 张弛 / 曹炳琨 / 黄毅 / 叶泉希 / 倪大红 / 蔡明 / 中国大陆 / 陈思诚 / 回子捷 / 120分钟 / 剧情 / 喜剧 / 陈思诚 Sicheng Chen / 谭丽莹 Liying Tan / 六兽 Xiaoyu Shi...,医院走廊尽头的10号房是一个特别的存在，别看这里住着的都是重症病人，但却每天欢声笑语热闹非凡。而故事就从章小兵（蒋龙 饰）跳楼未遂的那天开始讲起……当一个一心求死的人，遇上一群拼命想活的人，他在这份滚烫的生命力里豁然醒悟——勇敢活！放肆笑！,https://movie.douban.com/subject/37379599/
6,永远心跳漏一拍,7.4,3619人评价,2026-07-17(英国网络) / 基特·康纳 / 乔·洛克 / 安娜·麦克西维尔·马丁 / 约瑟夫·巴德拉玛 / 雅斯敏·芬尼 / 杰克·巴顿 / 高鑫 / 瑞亚·诺伍德 / 托比·多诺万 / 奥利弗·莫尔特曼 / 英国 / 沃什·韦斯特摩兰 / 114分钟 / 永远心跳漏一拍 /...,尼克（基特·康纳 Kit Connor 饰）和查理（乔·洛克 Joe Locke 饰）仍然形影不离，但尼克即将离家去上大学，而查理在学校有了独立新生活，远距离恋爱的现实问题开始让他们倍感沉重。猜疑在心中滋长，两人的关系面临迄今最大的考验。与此同时，他们的好友也各自面临爱情与友情的起起落落，在学习成长与放下的过程中尝尽苦乐参半的滋味。初恋真能持续到永远吗？,https://movie.douban.com/subject/37326018/
7,大濛,8.2,24388人评价,2025-11-06(台北金马影展) / 2025-11-27(中国台湾) / 方郁婷 / 柯炜林 / 汤毓绮 / 曾敬骅 / 陈以文 / 蔡昌宪 / 陈竹升 / 詹馥瑄 / 胡智强 / 陈俊成 / 中国台湾 / 陈玉勋 / 134分钟 / 剧情 / 陈玉勋 Yu-Hsun Chen / 汉语普通话 / 闽南语 / 粤语,1954年，一个15岁女孩，听闻哥哥在台北被枪毙的消息，独自搭火车从嘉义到台北，不顾一切后果，只为带哥哥回家。她懵懂无知初到台北，意外下被来自广东、思乡而归不得的三轮车夫所救。两个没有血缘关系的人，因为缘分变成患难之交，展开一段为筹措赎尸费，而赌上性命的旅程。,https://movie.douban.com/subject/36680492/
8,寻找艾米丽,7.5,4495人评价,2026-05-22(英国) / 2026-08-28(美国) / 安格瑞·赖斯 / 斯派克·费恩 / 朱莉娅·罗杰斯 / 托比·罗斯韦尔 / 明妮·德里弗 / 艾拉·梅西·珀维斯 / 艾莉·亨利 / 娜迪亚·帕克斯 / 雅莉·托珀尔·玛格丽斯 / 克拉拉·李欧 / 英国 / 艾丽西娅·麦克唐纳...,"影片故事背景设定在曼彻斯特大学，精准捕捉了女权活动、短视频热点等当代年轻人的日常碎片。痴心歌手（斯派克·费恩 饰）鼓起勇气想打给暗恋对象艾米丽，却拿错了号码——阴差阳错联系上焦头烂额的心理学系学生（安格瑞·赖斯 饰）。两人一拍即合组队，在校园与伦敦街头展开""""寻人行动""""，却没 料到这一路乌龙频出、搅动整所大学的风波，也逼着他们直面自己真正在找的是那个人——还是某种不敢承认的期待。",https://movie.douban.com/subject/36912404/
9,绵羊侦探团,7.5,48247人评价,2026-05-08(美国) / 2026-05-16(中国大陆) / 休·杰克曼 / 尼可拉斯·博朗 / 尼古拉斯·加利齐纳 / 莫莉·戈登 / 茱莉亚·路易斯-德瑞弗斯 / 克里斯·奥多德 / 布莱恩·克兰斯顿 / 帕特里克·斯图尔特 / 雷吉娜·赫尔 / 贝拉·拉姆齐 / 爱尔兰 / 英国...,牧羊人乔治（休·杰克曼 饰）最爱给羊群读侦探小说，没想到自己有一天会离奇死亡。他留下的3000万巨额遗产，让每个人貌似都有犯罪动机。警察毫无头绪之时，羊群们决定“不务正业”迈出牧场，追查牧羊人“躺平”真相！它们秉承着遇见麻烦就吃草，嗅到危险就躺倒的哲学，却迎来了一个意想不到的结果……影片改编自莱奥妮·斯万的畅销小说。,https://movie.douban.com/subject/36918069/
10,森中有林,6.3,35911人评价,2026-04-17(北京国际电影节) / 2026-05-23(中国大陆) / 于和伟 / 高圆圆 / 韩庚 / 张天爱 / 乔杉 / 夏之光 / 邬家楷 / 谢可寅 / 宋小宝 / 安韩瑾 / 中国大陆 / 郑执 / 2026-04-17 / 117分钟 / 剧情 / 爱情 / 犯罪 / 郑执 Zhi Zheng / 汉语普通话,廉加海（于和伟 饰）被吕新开（韩庚 饰）意外打瞎了一只眼，没能赴约错过了爱人王秀义（高圆圆 饰）。这场意外却让他用一只眼给女儿廉婕（张天爱 饰）换来了一生的幸福。多年后，廉加海与王秀义重逢，旧情复燃，却意外卷入一场凶案。被众人联手掩盖的真相，与神秘而危险的王秀义有着千丝万缕的关系，也让两个家、三代人的命运开始了数十年的生死纠葛、爱恨痴缠……是谁杀了谁？又是谁要替谁抵命？廉加海和王秀义永远只差一点点的感情又将如何做个了断？影片改编自郑执同名小说。,https://movie.douban.com/subject/36372941/
