rank,title,rating,rating_count,release_info,summary,url
1,痴迷,7.7,98871人评价,2025-09-05(多伦多电影节) / 2026-05-15(美国) / 2026-07-24(中国大陆) / 迈克尔·约翰斯顿 / 印达·纳瓦雷特 / 库珀·汤姆林森 / 梅根·劳利斯 / 安迪·里克特 / 黑莉·菲茨杰拉德 / 达林·图恩德 / 安东尼·帕沃内 / 贾斯蒂斯 / 安东尼·卡萨比安卡...,平凡却对爱情抱有执念的青年贝尔（迈克尔·约翰斯顿 饰）在偶然得知小镇传说后，折断了一截禁忌的“心愿柳”许愿，如愿俘获暗恋对象妮基（印达·纳瓦雷特 饰）的心。可随着恋情顺遂展开，他逐渐察觉——被召唤来的并非好运，而是一种依附于欲望本身、缓慢蚕食现实的古老存在。想要的爱越圆满，代价越狰狞。影片改编自民间禁忌传说“心愿柳”框架。,https://movie.douban.com/subject/37450627/
2,森中有林,6.3,34680人评价,2026-04-17(北京国际电影节) / 2026-05-23(中国大陆) / 于和伟 / 高圆圆 / 韩庚 / 张天爱 / 乔杉 / 夏之光 / 邬家楷 / 谢可寅 / 宋小宝 / 安韩瑾 / 中国大陆 / 郑执 / 2026-04-17 / 117分钟 / 剧情 / 爱情 / 犯罪 / 郑执 Zhi Zheng / 汉语普通话,廉加海（于和伟 饰）被吕新开（韩庚 饰）意外打瞎了一只眼，没能赴约错过了爱人王秀义（高圆圆 饰）。这场意外却让他用一只眼给女儿廉婕（张天爱 饰）换来了一生的幸福。多年后，廉加海与王秀义重逢，旧情复燃，却意外卷入一场凶案。被众人联手掩盖的真相，与神秘而危险的王秀义有着千丝万缕的关系，也让两个家、三代人的命运开始了数十年的生死纠葛、爱恨痴缠……是谁杀了谁？又是谁要替谁抵命？廉加海和王秀义永远只差一点点的感情又将如何做个了断？影片改编自郑执同名小说。,https://movie.douban.com/subject/36372941/
3,公民义警,6.4,7019人评价,2026-06-19(克罗地亚) / 艾米·汉莫 / 科斯塔斯·曼迪勒 / 本杰明·施诺 / 维叶克斯拉维·卡图汀 / Dora Dimic Rakar / Jenny Paris / Neb Chupin / 阿洛娜·赫塔 / Dino Keric / Elizabeth Zacero / 克罗地亚 / 德国 / 乌维·鲍尔 / 89分钟 / 公民义警 / 动作 / 惊悚...,居住在克罗地亚萨格勒布的美国富商桑德斯，继承了父亲留下的庞大地产帝国，却亲眼见证暴力罪犯、性侵者与腐败法官一次次凭借规则漏洞逃脱法律制裁，对整个司法体系彻底失望。他褪去富商身份化身地下义警，以自己的方式对漏网之鱼执行审判。他的私刑行动被路人拍下传遍社交网络，迅速爆红成为民间追捧的正义符号，也引来了国际刑警长官亨利的全力追捕。两人在城市街巷里展开步步紧逼的猫鼠博弈，法外正义与执法体系的碰撞愈演愈烈。,https://movie.douban.com/subject/37192135/
4,大濛,8.2,23075人评价,2025-11-06(台北金马影展) / 2025-11-27(中国台湾) / 方郁婷 / 柯炜林 / 汤毓绮 / 曾敬骅 / 陈以文 / 蔡昌宪 / 陈竹升 / 詹馥瑄 / 胡智强 / 陈俊成 / 中国台湾 / 陈玉勋 / 134分钟 / 剧情 / 陈玉勋 Yu-Hsun Chen / 汉语普通话 / 闽南语 / 粤语,1954年，一个15岁女孩，听闻哥哥在台北被枪毙的消息，独自搭火车从嘉义到台北，不顾一切后果，只为带哥哥回家。她懵懂无知初到台北，意外下被来自广东、思乡而归不得的三轮车夫所救。两个没有血缘关系的人，因为缘分变成患难之交，展开一段为筹措赎尸费，而赌上性命的旅程。,https://movie.douban.com/subject/36680492/
5,鬼上车,6.0,6362人评价,2026-05-21(中国香港) / 2026-05-22(美国) / 雅各布·西皮奥 / 卢·洛贝尔 / 梅丽莎·里奥 / 约瑟夫·洛佩斯 / 迈尔斯·福勒 / 艾伦·重 / 德薇埃尔·约翰逊 / 詹姆斯·威廉·克拉克 / 托尼·杜佩 / 查尔斯·莱格特 / 美国 / 安德烈·厄夫雷达尔 / 97分钟...,一对年轻夫妇在高速公路目睹一宗惨烈车祸，离开事发现场后不久，他们开始发现自己被神秘“乘客”尾随！这个如恶魔般纠缠不休的跟踪者，不达目的誓不罢休，令他们的公路旅行变成了一场噩梦。,https://movie.douban.com/subject/37068432/
6,绵羊侦探团,7.5,46672人评价,2026-05-08(美国) / 2026-05-16(中国大陆) / 休·杰克曼 / 尼可拉斯·博朗 / 尼古拉斯·加利齐纳 / 莫莉·戈登 / 茱莉亚·路易斯-德瑞弗斯 / 克里斯·奥多德 / 布莱恩·克兰斯顿 / 帕特里克·斯图尔特 / 雷吉娜·赫尔 / 贝拉·拉姆齐 / 爱尔兰 / 英国...,牧羊人乔治（休·杰克曼 饰）最爱给羊群读侦探小说，没想到自己有一天会离奇死亡。他留下的3000万巨额遗产，让每个人貌似都有犯罪动机。警察毫无头绪之时，羊群们决定“不务正业”迈出牧场，追查牧羊人“躺平”真相！它们秉承着遇见麻烦就吃草，嗅到危险就躺倒的哲学，却迎来了一个意想不到的结果……影片改编自莱奥妮·斯万的畅销小说。,https://movie.douban.com/subject/36918069/
7,福尔摩斯小姐3,5.6,4205人评价,2026-07-01(美国网络) / 米莉·波比·布朗 / 亨利·卡维尔 / 海伦娜·伯翰·卡特 / 路易斯·帕特里奇 / 希米什·帕特尔 / 莎伦·邓肯-布鲁斯特 / 贝恩·科拉科 / 乔·阿佐帕迪 / 彼得·温菲尔德 / 迈克·帕里什 / 美国 / 菲利普·巴兰蒂尼 / 105分钟...,冒险追逐着侦探伊诺拉·福尔摩斯小姐来到马耳他，在那里，她的个人梦想和职业梦想碰撞在一起，她所面对的案件比以往任何案件都更加纠结和诡谲……,https://movie.douban.com/subject/36636590/
8,鬼玩人6：炼狱,7.0,1082人评价,2026-07-08(中国台湾) / 2026-07-10(美国) / 索海拉·雅各布 / 亨特·杜汉 / 卢西安·布坎南 / 坦蒂·莱特 / 乔治·普拉尔 / 埃罗尔·尚德 / 维克托里·恩杜克韦 / 莫德·戴维 / 基努·卡里姆 / 塔皮瓦·索罗帕 / 美国 / 塞巴斯蒂安·瓦尼契克 / 110分钟...,爱丽丝在丈夫骤然离世后深陷悲痛，受邀前往公婆的乡间庄园暂住，试图和丈夫的家人互相慰藉，一同走出丧亲的阴霾。可入住没多久，诡异状况便接连爆发，庄园里怪事频发，身边的亲人举止日渐反常。很快，恶灵诅咒席卷整座宅邸，身边的人一个接一个被侵蚀异化，变成面目焦黑、嗜血狂暴的死徒。她逐渐发现，当年婚礼上许下的婚姻誓言并未随丈夫的死亡消散，反而成了缠绕整个家族的恶灵契约。被困在庄园里的她，必须在亲人彻底沦陷前，在遍地死徒的绝境里拼杀求生。,https://movie.douban.com/subject/36767846/
9,穿普拉达的女王2,6.4,77178人评价,2026-04-29(中国台湾) / 2026-04-30(中国大陆) / 2026-05-01(美国) / 梅丽尔·斯特里普 / 安妮·海瑟薇 / 艾米莉·布朗特 / 斯坦利·图齐 / 贾斯汀·塞洛克斯 / 西蒙娜·阿什利 / 肯尼思·布拉纳 / 刘玉玲 / 翠茜·索姆斯 / B·J·诺瓦克 / 美国 / 大卫·弗兰科尔...,影片直面数字时代时尚行业的迭代浪潮，当曾经指引潮流的时尚圣经《Runway》杂志遭遇前所未有的生存危机，“时尚女魔头”米兰达（梅丽尔·斯特里普 饰）与曾经的“职场小白”安迪（安妮·海瑟薇 饰）再度聚首，时尚圈地位将经历大洗牌——昔日的助理艾米莉（艾米莉·布朗特 饰）权力进阶成长为奢侈品集团高管；安迪也成为独当一面的职场强者。从各自为战到并肩破局，从过去“被支配”到“掌控话语权”，角色的身份转变与立场碰撞，更映照出女性在职场成长自我抉择中的蜕变与力量，启发人们重新去探寻关于梦想、权力与自我的人生命题。,https://movie.douban.com/subject/36956594/
10,寻找艾米丽,7.4,3444人评价,2026-05-22(英国) / 2026-08-28(美国) / 安格瑞·赖斯 / 斯派克·费恩 / 朱莉娅·罗杰斯 / 托比·罗斯韦尔 / 明妮·德里弗 / 艾拉·梅西·珀维斯 / 艾莉·亨利 / 娜迪亚·帕克斯 / 雅莉·托珀尔·玛格丽斯 / 克拉拉·李欧 / 英国 / 艾丽西娅·麦克唐纳...,"影片故事背景设定在曼彻斯特大学，精准捕捉了女权活动、短视频热点等当代年轻人的日常碎片。痴心歌手（斯派克·费恩 饰）鼓起勇气想打给暗恋对象艾米丽，却拿错了号码——阴差阳错联系上焦头烂额的心理学系学生（安格瑞·赖斯 饰）。两人一拍即合组队，在校园与伦敦街头展开""""寻人行动""""，却没 料到这一路乌龙频出、搅动整所大学的风波，也逼着他们直面自己真正在找的是那个人——还是某种不敢承认的期待。",https://movie.douban.com/subject/36912404/
